iso3,month,event_type,sub_event_type,disorder_type,events,fatalities
AGO,1996-12-01,['Violence against civilians'],['Attack'],['Political violence'],2,40
CAF,1996-12-01,['Battles'],['Armed clash'],['Political violence'],2,4
DZA,1996-12-01,['Violence against civilians'],['Attack'],['Political violence'],3,9
EGY,1996-12-01,['Battles'],['Armed clash'],['Political violence'],1,1
LBY,1996-12-01,['Violence against civilians'],['Attack'],['Political violence'],1,8
RWA,1996-12-01,['Battles'],['Armed clash'],['Political violence'],1,1
SDN,1996-12-01,['Battles'],['Armed clash'],['Political violence'],2,0
SLE,1996-12-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Government regains territory', 'Looting/property destruction', 'Armed clash', 'Headquarters or base established', 'Non-violent transfer of territory', 'Attack']","['Political violence', 'Strategic developments']",13,0
UGA,1996-12-01,['Battles'],['Armed clash'],['Political violence'],2,9
AGO,1997-01-01,"['Strategic developments', 'Violence against civilians']","['Looting/property destruction', 'Attack']","['Strategic developments', 'Political violence']",2,0
BDI,1997-01-01,"['Violence against civilians', 'Strategic developments', 'Battles']","['Attack', 'Looting/property destruction', 'Armed clash']","['Political violence', 'Strategic developments']",19,796
CAF,1997-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Attack']",['Political violence'],5,10
CIV,1997-01-01,"['Protests', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Attack']","['Demonstrations', 'Political violence']",4,2
COG,1997-01-01,"['Battles', 'Protests']","['Non-state actor overtakes territory', 'Protest with intervention', 'Armed clash']","['Political violence', 'Demonstrations']",3,12
DZA,1997-01-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack']",['Political violence'],39,456
EGY,1997-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],4,5
ETH,1997-01-01,['Strategic developments'],['Change to group/activity'],['Strategic developments'],1,0
KEN,1997-01-01,"['Violence against civilians', 'Protests']","['Attack', 'Peaceful protest']","['Political violence', 'Demonstrations']",4,6
LBR,1997-01-01,['Battles'],['Armed clash'],['Political violence'],1,0
MAR,1997-01-01,['Riots'],['Mob violence'],['Political violence'],1,0
MLI,1997-01-01,['Protests'],['Protest with intervention'],['Demonstrations'],1,0
NAM,1997-01-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
NER,1997-01-01,"['Battles', 'Riots', 'Protests', 'Violence against civilians']","['Armed clash', 'Mob violence', 'Violent demonstration', 'Peaceful protest', 'Attack']","['Political violence', 'Demonstrations']",7,15
NGA,1997-01-01,"['Battles', 'Riots', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence', 'Protests']","['Armed clash', 'Mob violence', 'Looting/property destruction', 'Violent demonstration', 'Attack', 'Remote explosive/landmine/IED', 'Peaceful protest']","['Political violence', 'Strategic developments', 'Demonstrations']",14,11
RWA,1997-01-01,"['Battles', 'Violence against civilians', 'Explosions/Remote violence']","['Armed clash', 'Attack', 'Grenade']",['Political violence'],12,145
SDN,1997-01-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Air/drone strike', 'Non-violent transfer of territory', 'Attack', 'Excessive force against protesters', 'Peaceful protest', 'Protest with intervention', 'Shelling/artillery/missile attack', 'Violent demonstration']","['Political violence', 'Strategic developments', 'Political violence; Demonstrations', 'Demonstrations']",53,1860
SLE,1997-01-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Government regains territory', 'Non-state actor overtakes territory', 'Headquarters or base established', 'Looting/property destruction', 'Non-violent transfer of territory', 'Attack', 'Sexual violence', 'Armed clash']","['Political violence', 'Strategic developments']",36,40
TGO,1997-01-01,['Protests'],['Protest with intervention'],['Demonstrations'],1,0
UGA,1997-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Abduction/forced disappearance']",['Political violence'],3,7
ZAF,1997-01-01,"['Strategic developments', 'Explosions/Remote violence', 'Protests']","['Disrupted weapons use', 'Remote explosive/landmine/IED', 'Peaceful protest']","['Strategic developments', 'Political violence', 'Demonstrations']",3,4
AGO,1997-02-01,"['Battles', 'Violence against civilians', 'Strategic developments', 'Protests', 'Riots']","['Armed clash', 'Attack', 'Government regains territory', 'Looting/property destruction', 'Peaceful protest', 'Violent demonstration']","['Political violence', 'Strategic developments', 'Demonstrations']",16,1027
BDI,1997-02-01,"['Strategic developments', 'Violence against civilians', 'Battles']","['Looting/property destruction', 'Attack', 'Armed clash']","['Strategic developments', 'Political violence']",10,230
BFA,1997-02-01,['Protests'],['Protest with intervention'],['Demonstrations'],4,0
CAF,1997-02-01,"['Battles', 'Riots', 'Strategic developments']","['Armed clash', 'Mob violence', 'Violent demonstration', 'Change to group/activity']","['Political violence', 'Demonstrations', 'Strategic developments']",5,1
CMR,1997-02-01,['Battles'],['Armed clash'],['Political violence'],1,0
COD,1997-02-01,"['Battles', 'Strategic developments']","['Non-state actor overtakes territory', 'Armed clash', 'Change to group/activity']","['Political violence', 'Strategic developments']",3,0
COG,1997-02-01,"['Battles', 'Strategic developments']","['Armed clash', 'Non-violent transfer of territory']","['Political violence', 'Strategic developments']",2,0
DZA,1997-02-01,['Violence against civilians'],['Attack'],['Political violence'],8,145
EGY,1997-02-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],3,15
ERI,1997-02-01,['Battles'],['Armed clash'],['Political violence'],1,100
ETH,1997-02-01,"['Strategic developments', 'Explosions/Remote violence']","['Headquarters or base established', 'Grenade']","['Strategic developments', 'Political violence']",2,2
GMB,1997-02-01,['Riots'],['Mob violence'],['Political violence'],1,0
KEN,1997-02-01,"['Explosions/Remote violence', 'Protests', 'Riots', 'Violence against civilians']","['Remote explosive/landmine/IED', 'Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Attack']","['Political violence', 'Demonstrations']",8,9
LBR,1997-02-01,['Strategic developments'],['Non-violent transfer of territory'],['Strategic developments'],4,0
LSO,1997-02-01,['Battles'],['Armed clash'],['Political violence'],2,5
MLI,1997-02-01,['Riots'],['Mob violence'],['Political violence'],1,0
NER,1997-02-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],3,0
NGA,1997-02-01,"['Battles', 'Violence against civilians', 'Riots', 'Explosions/Remote violence']","['Armed clash', 'Attack', 'Mob violence', 'Violent demonstration', 'Remote explosive/landmine/IED']","['Political violence', 'Demonstrations']",13,30
RWA,1997-02-01,"['Violence against civilians', 'Explosions/Remote violence', 'Battles']","['Attack', 'Grenade', 'Armed clash']",['Political violence'],15,65
SDN,1997-02-01,['Battles'],"['Armed clash', 'Government regains territory']",['Political violence'],7,86
