iso3,month,risk_3,risk_12,logfat_risk_3,logfat_risk_12,INFORM,VU,CC,HA,event_type,sub_event_type,disorder_type,events,fatalities,hdx_alert_level,hdx_value,monthly_displacement,Flight,Airport,Travel,Train,Bus,Passport,Travel_visa,Right_of_asylum,rolling_3m_displacements,allocation-eligible,target_2m,risk_gt_06,is_protracted,disp_6m_avg,fat_6m_avg,hdx_med_high_count,hdx_3m_sum,p_sig1,p_sig2,p_sig3,protracted_signal,h_sig1,h_sig2,hard_onset_signal,early_signal,monthly_displacement_lag1,monthly_displacement_lag2,fatalities_lag1,events_lag1,risk_3_lag1,risk_12_lag1,logfat_risk_3_lag1,logfat_risk_12_lag1,hdx_alert_max,hdx_alert_sum,hdx_alert_mean,acled_civilian_targeted,acled_heavy_warfare,acled_social_unrest,acled_territorial_shift,acled_strategic_or_other,acled_political_violence,Flight_lag_1m,Airport_lag_1m,Travel_lag_1m,Train_lag_1m,Bus_lag_1m,Passport_lag_1m,Travel_visa_lag_1m,Right_of_asylum_lag_1m,Flight_lag_2m,Airport_lag_2m,Travel_lag_2m,Train_lag_2m,Bus_lag_2m,Passport_lag_2m,Travel_visa_lag_2m,Right_of_asylum_lag_2m,Flight_lag_3m,Airport_lag_3m,Travel_lag_3m,Train_lag_3m,Bus_lag_3m,Passport_lag_3m,Travel_visa_lag_3m,Right_of_asylum_lag_3m,Flight_growth_1m,Airport_growth_1m,Travel_growth_1m,Train_growth_1m,Bus_growth_1m,Passport_growth_1m,Travel_visa_growth_1m,Right_of_asylum_growth_1m,Flight_rolling_mean_3m,Airport_rolling_mean_3m,Travel_rolling_mean_3m,Train_rolling_mean_3m,Bus_rolling_mean_3m,Passport_rolling_mean_3m,Travel_visa_rolling_mean_3m,Right_of_asylum_rolling_mean_3m
AFG,2018-01-01,0.9996078431372548,1.0,8.331437244701366,9.28000731326416,7.8,7.1,7.7,8.8,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Government regains territory', 'Air/drone strike', 'Agreement', 'Attack', 'Non-state actor overtakes territory', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Disrupted weapons use', 'Peaceful protest', 'Violent demonstration', 'Abduction/forced disappearance', 'Change to group/activity', 'Other', 'Suicide bomb', 'Looting/property destruction', 'Grenade']","['Political violence', 'Strategic developments', 'Demonstrations']",1025.0,2533.0,[],0.0,7456.583577,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,7456.583577,0,0,True,0,,,0,,False,False,False,False,False,False,False,0,,,,,,,,,0,0,0.0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0
AFG,2018-02-01,0.9965135776532836,1.0,8.295600900651179,9.393766940891991,7.8,7.1,7.7,8.8,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Protests', 'Violence against civilians']","['Armed clash', 'Air/drone strike', 'Grenade', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Other', 'Government regains territory', 'Peaceful protest', 'Non-state actor overtakes territory', 'Attack', 'Disrupted weapons use', 'Abduction/forced disappearance', 'Suicide bomb', 'Looting/property destruction', 'Change to group/activity']","['Political violence', 'Strategic developments', 'Demonstrations']",878.0,1804.0,['Medium concern'],1.0,13918.9560104,3.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,21375.5395874,0,0,True,0,,,1,,False,False,False,False,False,False,False,0,7456.583577,,2533.0,1025.0,0.9996078431372548,1.0,8.331437244701366,9.28000731326416,1,1,1.0,1,1,1,1,1,1,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,-0.24999937500156252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.0,2.0,1.0,1.0,1.0,4.0,0.0
AFG,2018-03-01,0.9982175925925926,1.0,8.339758123759582,9.346226168035072,7.8,7.1,7.7,8.8,"['Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Protests', 'Strategic developments']","['Armed clash', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Attack', 'Shelling/artillery/missile attack', 'Peaceful protest', 'Government regains territory', 'Looting/property destruction', 'Non-state actor overtakes territory', 'Disrupted weapons use', 'Excessive force against protesters', 'Suicide bomb', 'Grenade', 'Change to group/activity', 'Agreement']","['Political violence', 'Demonstrations', 'Strategic developments', 'Political violence; Demonstrations']",1136.0,2534.0,[],0.0,15410.2727258,4.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,36785.812313200004,0,1,True,0,,,0,1.0,False,False,False,False,False,False,False,0,13918.9560104,7456.583577,1804.0,878.0,0.9965135776532836,1.0,8.295600900651179,9.393766940891991,0,0,0.0,1,1,1,1,1,1,3.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,,,,,,,,,0.3333322222259259,0.0,0.0,-0.9999900000999989,0.0,0.0,0.0,0.0,3.6666666666666665,2.0,2.0,0.6666666666666666,1.0,1.0,4.0,0.0
AFG,2018-04-01,0.9950816215375036,0.9998148148148148,8.383569728026998,9.4147226144452,7.8,7.1,7.7,8.8,"['Battles', 'Explosions/Remote violence', 'Protests', 'Strategic developments', 'Violence against civilians', 'Riots']","['Armed clash', 'Non-state actor overtakes territory', 'Air/drone strike', 'Grenade', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Peaceful protest', 'Disrupted weapons use', 'Looting/property destruction', 'Non-violent transfer of territory', 'Abduction/forced disappearance', 'Attack', 'Government regains territory', 'Suicide bomb', 'Protest with intervention', 'Other', 'Violent demonstration']","['Political violence', 'Demonstrations', 'Strategic developments']",1235.0,2726.0,[],0.0,17198.8814402,3.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,46528.1101764,0,1,True,0,,,0,1.0,False,False,False,False,False,False,False,0,15410.2727258,13918.9560104,2534.0,1136.0,0.9982175925925926,1.0,8.339758123759582,9.346226168035072,0,0,0.0,1,1,1,1,1,1,4.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,-0.24999937500156252,0.0,0.0,99999.99999999999,0.0,0.0,0.24999937500156252,0.0,3.3333333333333335,2.0,2.0,0.6666666666666666,1.0,1.0,4.333333333333333,0.0
AFG,2018-05-01,0.9912371332145966,0.9989473684210526,8.342652846947177,9.481497866023467,7.7,7.1,7.5,8.7,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Non-state actor overtakes territory', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Agreement', 'Change to group/activity', 'Other', 'Government regains territory', 'Looting/property destruction', 'Abduction/forced disappearance', 'Attack', 'Disrupted weapons use', 'Peaceful protest', 'Grenade', 'Suicide bomb', 'Mob violence', 'Excessive force against protesters']","['Political violence', 'Strategic developments', 'Demonstrations', 'Political violence; Demonstrations']",1364.0,4147.0,['High concern'],2.0,39769.7197354,4.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,72378.8739014,1,1,True,0,,,1,1.0,False,False,False,False,False,False,False,0,17198.8814402,15410.2727258,2726.0,1235.0,0.9950816215375036,0.9998148148148148,8.383569728026998,9.4147226144452,2,2,2.0,1,1,1,1,1,1,3.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,0.3333322222259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,2.0,2.0,0.6666666666666666,1.0,1.0,4.666666666666667,0.0
AFG,2018-06-01,0.990900260142907,0.9998333333333332,8.409421761883959,9.479817943744196,7.7,7.1,7.5,8.7,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Protests', 'Violence against civilians', 'Riots']","['Armed clash', 'Remote explosive/landmine/IED', 'Change to group/activity', 'Non-state actor overtakes territory', 'Air/drone strike', 'Shelling/artillery/missile attack', 'Suicide bomb', 'Peaceful protest', 'Attack', 'Disrupted weapons use', 'Arrests', 'Agreement', 'Non-violent transfer of territory', 'Violent demonstration', 'Looting/property destruction', 'Abduction/forced disappearance', 'Excessive force against protesters', 'Grenade', 'Government regains territory', 'Headquarters or base established']","['Political violence', 'Strategic developments', 'Demonstrations', 'Political violence; Demonstrations']",1690.0,4272.0,['Medium concern'],4647.0,15348.651027,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,72317.25220260001,1,1,True,0,18183.844085966666,3002.6666666666665,1,2.0,False,False,False,False,False,False,False,0,39769.7197354,17198.8814402,4147.0,1364.0,0.9912371332145966,0.9989473684210526,8.342652846947177,9.481497866023467,1,1,1.0,1,1,1,1,1,1,4.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19999960000080003,0.0,3.6666666666666665,2.0,2.0,1.0,1.0,1.0,4.666666666666667,0.0
AFG,2018-07-01,0.9957883309237672,0.9987426900584796,8.551481193059564,9.682362467331831,7.7,7.1,7.5,8.7,"['Battles', 'Violence against civilians', 'Explosions/Remote violence', 'Strategic developments', 'Protests']","['Armed clash', 'Non-state actor overtakes territory', 'Attack', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Change to group/activity', 'Peaceful protest', 'Government regains territory', 'Shelling/artillery/missile attack', 'Suicide bomb', 'Looting/property destruction', 'Abduction/forced disappearance', 'Grenade', 'Non-violent transfer of territory', 'Disrupted weapons use', 'Agreement', 'Sexual violence', 'Protest with intervention', 'Arrests']","['Political violence', 'Strategic developments', 'Demonstrations']",1459.0,4967.0,[],0.0,17689.627566,4.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,72807.9983284,1,1,True,0,19889.351417466667,3408.3333333333335,0,2.0,False,False,False,False,False,False,False,0,15348.651027,39769.7197354,4272.0,1690.0,0.990900260142907,0.9998333333333332,8.409421761883959,9.479817943744196,0,0,0.0,1,1,1,1,1,1,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,0.0,0.49999750001249993,0.0,0.0,0.0,0.0,0.24999937500156252,0.0,4.0,2.3333333333333335,2.0,1.0,1.0,1.0,4.666666666666667,0.0
AFG,2018-08-01,0.994435661805629,0.9982916666666664,8.527891130207879,9.764935786061436,7.7,7.1,7.5,8.7,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Non-state actor overtakes territory', 'Air/drone strike', 'Other', 'Attack', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Change to group/activity', 'Looting/property destruction', 'Government regains territory', 'Disrupted weapons use', 'Non-violent transfer of territory', 'Suicide bomb', 'Peaceful protest', 'Violent demonstration', 'Abduction/forced disappearance', 'Grenade']","['Political violence', 'Strategic developments', 'Demonstrations']",1169.0,4592.0,[],0.0,57380.27273,5.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,90418.55132299999,1,1,True,0,27132.904204066668,3873.0,0,1.0,False,False,False,False,False,False,False,0,17689.627566,15348.651027,4967.0,1459.0,0.9957883309237672,0.9987426900584796,8.551481193059564,9.682362467331831,0,0,0.0,1,1,1,1,1,1,4.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,0.24999937500156252,-0.3333322222259259,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,2.3333333333333335,2.0,1.0,1.0,1.0,4.666666666666667,0.0
AFG,2018-09-01,0.994825191712095,0.9992374727668846,8.455813589458813,9.648568791058892,7.7,7.1,7.5,8.7,"['Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Strategic developments', 'Protests']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack', 'Non-state actor overtakes territory', 'Air/drone strike', 'Shelling/artillery/missile attack', 'Grenade', 'Government regains territory', 'Change to group/activity', 'Looting/property destruction', 'Suicide bomb', 'Arrests', 'Disrupted weapons use', 'Peaceful protest', 'Abduction/forced disappearance']","['Political violence', 'Strategic developments', 'Demonstrations']",1161.0,4644.0,['High concern'],0.13,14913.167154,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,89983.06745,1,1,True,0,27050.053275433336,4224.666666666667,1,1.0,False,False,False,False,False,False,False,0,57380.27273,17689.627566,4592.0,1169.0,0.994435661805629,0.9982916666666664,8.527891130207879,9.764935786061436,2,2,2.0,1,1,1,1,1,1,5.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,-0.19999960000080003,0.0,0.0,0.0,0.0,0.0,-0.19999960000080003,0.0,4.333333333333333,2.3333333333333335,2.0,1.0,1.0,1.0,4.666666666666667,0.0
AFG,2018-10-01,0.9928229910703156,0.9995555555555556,8.451106884371685,9.737453890010716,7.7,7.1,7.5,8.7,"['Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Strategic developments', 'Riots', 'Protests']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack', 'Air/drone strike', 'Agreement', 'Disrupted weapons use', 'Non-state actor overtakes territory', 'Shelling/artillery/missile attack', 'Suicide bomb', 'Government regains territory', 'Mob violence', 'Other', 'Abduction/forced disappearance', 'Grenade', 'Peaceful protest', 'Looting/property destruction']","['Political violence', 'Strategic developments', 'Demonstrations']",924.0,3285.0,[],0.0,15410.2727258,3.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,87703.7126098,1,1,True,0,26751.951823033334,4317.833333333333,0,1.0,False,False,False,False,False,False,False,0,14913.167154,57380.27273,4644.0,1161.0,0.994825191712095,0.9992374727668846,8.455813589458813,9.648568791058892,0,0,0.0,1,1,1,1,1,1,4.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,0.0,-0.24999937500156252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,4.333333333333333,0.0
