month,iso3,Flight,Airport,Travel,Train,Bus,Passport,Travel visa,Right of asylum
2017-12-01,AFG,4,2,2,1,1,1,4,0
2018-01-01,AFG,4,2,2,1,1,1,4,0
2018-02-01,AFG,3,2,2,1,1,1,4,0
2018-03-01,AFG,4,2,2,0,1,1,4,0
2018-04-01,AFG,3,2,2,1,1,1,5,0
2018-05-01,AFG,4,2,2,1,1,1,5,0
2018-06-01,AFG,4,2,2,1,1,1,4,0
2018-07-01,AFG,4,3,2,1,1,1,5,0
2018-08-01,AFG,5,2,2,1,1,1,5,0
2018-09-01,AFG,4,2,2,1,1,1,4,0
2018-10-01,AFG,3,2,2,1,1,1,4,0
2018-11-01,AFG,4,2,2,1,1,1,4,0
2018-12-01,AFG,4,2,2,1,1,1,4,0
2019-01-01,AFG,4,2,2,1,1,1,4,0
2019-02-01,AFG,4,2,2,0,1,1,4,0
2019-03-01,AFG,4,2,2,1,1,2,4,0
2019-04-01,AFG,4,2,2,1,1,1,4,0
2019-05-01,AFG,4,2,3,1,1,2,5,0
2019-06-01,AFG,4,2,2,1,1,1,4,0
2019-07-01,AFG,5,2,3,1,1,2,4,0
2019-08-01,AFG,5,3,3,1,1,2,5,0
2019-09-01,AFG,5,3,3,1,1,2,5,0
2019-10-01,AFG,4,3,3,1,1,2,5,0
2019-11-01,AFG,4,2,3,1,1,2,4,0
2019-12-01,AFG,4,2,2,1,1,2,4,0
2020-01-01,AFG,5,3,3,1,1,2,4,0
2020-02-01,AFG,4,2,2,1,1,3,4,0
2020-03-01,AFG,5,2,3,1,1,1,2,0
2020-04-01,AFG,3,1,2,0,1,1,1,0
2020-05-01,AFG,4,2,2,0,1,1,2,0
2020-06-01,AFG,5,2,2,0,1,1,2,0
2020-07-01,AFG,4,2,2,0,1,2,2,0
2020-08-01,AFG,4,2,3,0,1,2,3,0
2020-09-01,AFG,4,1,2,0,1,2,3,0
2020-10-01,AFG,4,1,2,0,1,2,4,0
2020-11-01,AFG,3,1,2,0,1,2,6,0
2020-12-01,AFG,3,1,2,0,1,2,6,0
2021-01-01,AFG,3,1,3,0,1,3,7,0
2021-02-01,AFG,3,1,2,0,1,3,5,0
2021-03-01,AFG,3,1,2,1,1,2,4,0
2021-04-01,AFG,3,1,3,1,1,3,4,0
2021-05-01,AFG,3,2,3,0,1,2,5,0
2021-06-01,AFG,4,2,3,1,1,3,6,0
2021-07-01,AFG,4,2,3,1,1,6,7,0
2021-08-01,AFG,5,3,4,1,1,10,24,1
2021-09-01,AFG,5,2,3,1,1,3,13,0
2021-10-01,AFG,3,1,3,1,1,5,9,0
2021-11-01,AFG,3,1,3,1,1,5,12,0
2021-12-01,AFG,2,1,2,1,1,15,11,0
2022-01-01,AFG,2,1,2,0,1,10,9,0
2022-02-01,AFG,2,1,2,1,1,20,9,0
2022-03-01,AFG,2,1,2,1,1,9,8,0
2022-04-01,AFG,2,1,3,1,1,66,8,0
2022-05-01,AFG,2,1,2,1,1,39,9,0
2022-06-01,AFG,2,1,3,1,1,25,10,0
2022-07-01,AFG,2,1,3,1,1,19,10,0
2022-08-01,AFG,3,1,3,1,1,26,10,0
2022-09-01,AFG,2,1,3,1,1,46,10,0
2022-10-01,AFG,2,1,2,1,1,28,14,0
2022-11-01,AFG,2,1,2,0,1,10,12,0
2022-12-01,AFG,2,1,2,0,1,6,11,0
