iso3,month,hdx_alert_level,hdx_value
AB9,2024-02-01,['High concern'],5648.275862068966
AFG,2017-03-01,['Medium concern'],1.0
AFG,2018-02-01,['Medium concern'],1.0
AFG,2018-05-01,['High concern'],2.0
AFG,2018-06-01,['Medium concern'],4647.0
AFG,2018-09-01,['High concern'],0.13
AFG,2019-03-01,['Medium concern'],35111.11111111111
AFG,2019-09-01,"['Medium concern', 'High concern']",4850.11
AFG,2020-04-01,['High concern'],0.11
AFG,2020-08-01,['Medium concern'],34140.90909090909
AFG,2020-09-01,['Medium concern'],4.6
AFG,2021-04-01,['Medium concern'],1.0
AFG,2021-05-01,"['Medium concern', 'High concern']",10027.0
AFG,2021-06-01,['Medium concern'],4.7
AFG,2021-10-01,['High concern'],0.21
AFG,2021-11-01,['High concern'],2.0
AFG,2022-06-01,['High concern'],102386.0
AFG,2022-09-01,['High concern'],0.16
AFG,2023-10-01,"['High concern', 'Medium concern']",211022.30222222224
AFG,2024-07-01,['Medium concern'],133.0
AFG,2025-02-01,['Medium concern'],4.5
AFG,2025-09-01,['Medium concern'],60822.0
AFG,2025-10-01,['Medium concern'],192.0
AFG,2025-11-01,['High concern'],160800.0
AGO,1998-07-01,['Medium concern'],1841.0
AGO,2001-12-01,['Medium concern'],1391.0
AGO,2016-11-01,['Medium concern'],1.0
AGO,2017-11-01,['Medium concern'],1.0
AGO,2018-12-01,['Medium concern'],1.0
AGO,2019-08-01,['High concern'],0.32
AGO,2019-10-01,['Medium concern'],1.0
AGO,2021-01-01,['Medium concern'],1.0
AGO,2021-06-01,['High concern'],0.25
AGO,2022-01-01,['Medium concern'],1.0
AGO,2023-11-01,['Medium concern'],3.2
AGO,2025-05-01,['Medium concern'],3.2
AGO,2026-01-01,['Medium concern'],1.0
ARM,2021-07-01,['High concern'],28.0
ARM,2022-09-01,['High concern'],5187.666666666667
AZE,2020-09-01,['Medium concern'],122.0
AZE,2020-10-01,['Medium concern'],75000.0
AZE,2023-09-01,['Medium concern'],5341.0
BDI,1999-08-01,['Medium concern'],578.0
BDI,2000-08-01,['High concern'],1067.0
BDI,2001-11-01,['Medium concern'],639.0
BDI,2003-07-01,['Medium concern'],542.0
BDI,2005-07-01,['Medium concern'],341.0
BDI,2008-05-01,['Medium concern'],138.0
BDI,2015-01-01,['High concern'],102.0
BDI,2015-11-01,['High concern'],161.0
BDI,2017-07-01,['Medium concern'],0.27
BDI,2020-09-01,['High concern'],102.0
BDI,2020-11-01,['Medium concern'],10.0
BDI,2021-03-01,['Medium concern'],3.8
BDI,2021-05-01,['High concern'],52007.558139534885
BDI,2022-05-01,['Medium concern'],11.0
BDI,2023-01-01,['High concern'],39.0
BDI,2023-06-01,['Medium concern'],3.6
BDI,2024-06-01,['Medium concern'],11.0
BDI,2025-08-01,['Medium concern'],3.4
BEN,2017-05-01,['Medium concern'],1.0
BEN,2020-11-01,['Medium concern'],21.0
BEN,2021-11-01,['Medium concern'],21.0
BEN,2023-08-01,['Medium concern'],1.0
BEN,2024-08-01,['Medium concern'],1.0
BEN,2025-04-01,['High concern'],116.0
BEN,2025-07-01,['Medium concern'],1.0
BFA,2002-02-01,['High concern'],106.0
BFA,2019-01-01,['High concern'],166.0
BFA,2019-12-01,['High concern'],255.0
BFA,2020-02-01,['Medium concern'],3.4
BFA,2020-12-01,['Medium concern'],4.0
BFA,2021-06-01,['Medium concern'],333.0
BFA,2021-11-01,['High concern'],5636.363636363636
BFA,2022-01-01,['High concern'],462.0
BFA,2022-03-01,['Medium concern'],15.0
BFA,2023-01-01,"['Medium concern', 'High concern']",110902.0
BFA,2023-02-01,"['High concern', 'Medium concern']",681.0
BFA,2023-07-01,['Medium concern'],1.0
BFA,2023-11-01,['High concern'],4.1
BFA,2024-05-01,['Medium concern'],1040.0
BFA,2024-08-01,['Medium concern'],1.0
BFA,2026-03-01,['High concern'],8.4
BGD,2017-09-01,['Medium concern'],1.0
BGD,2019-07-01,['Medium concern'],62480.33333333333
BGD,2020-09-01,['Medium concern'],64140.0
BGD,2022-06-01,"['Medium concern', 'High concern']",281054.00440917106
BGD,2022-09-01,['Medium concern'],10.0
BGD,2023-03-01,['High concern'],0.06
BGD,2023-08-01,['Medium concern'],3.6
BGD,2024-02-01,['Medium concern'],0.24
BGD,2024-05-01,['Medium concern'],404255.0
BGD,2024-07-01,['High concern'],174.0
BOL,2017-01-01,['Medium concern'],1.0
BOL,2022-03-01,['Medium concern'],1.0
BOL,2023-02-01,['Medium concern'],1.0
BOL,2024-01-01,['Medium concern'],1.0
BRA,2020-01-01,['Medium concern'],50538.47130799912
BRA,2021-11-01,['Medium concern'],552.0
BRA,2022-01-01,"['Medium concern', 'High concern']",159931.8709677419
BRA,2022-05-01,"['Medium concern', 'High concern']",1247.0
BRA,2023-02-01,['High concern'],677.0
BRA,2024-04-01,['Medium concern'],109588.19838709677
BRA,2024-05-01,['High concern'],250349.6025245441
BRA,2025-05-01,['Medium concern'],60608.70967741933
BRA,2025-11-01,['High concern'],794.0
BRA,2025-12-01,['Medium concern'],61754.99999999998
BWA,2016-11-01,['Medium concern'],1.0
BWA,2018-01-01,['Medium concern'],1.0
BWA,2018-12-01,['Medium concern'],1.0
BWA,2019-10-01,['Medium concern'],1.0
BWA,2024-03-01,['Medium concern'],1.0
BWA,2025-01-01,['Medium concern'],1.0
CAF,2002-05-01,['High concern'],100.0
CAF,2006-06-01,['High concern'],147.0
CAF,2009-06-01,['Medium concern'],101.0
CAF,2010-04-01,['High concern'],114.0
CAF,2012-04-01,['Medium concern'],106.0
CAF,2013-03-01,['Medium concern'],116.0
CAF,2013-04-01,['High concern'],119.0
CAF,2013-12-01,['High concern'],473.0
CAF,2016-10-01,['Medium concern'],101.0
CAF,2017-05-01,"['Medium concern', 'High concern']",784.0
CAF,2018-03-01,['High concern'],0.14
CAF,2018-09-01,['High concern'],0.12
CAF,2019-09-01,['High concern'],0.15
CAF,2020-09-01,['High concern'],0.11
CAF,2020-11-01,['Medium concern'],15.0
CAF,2020-12-01,['Medium concern'],32700.358823529416
CAF,2021-01-01,['Medium concern'],111.0
CAF,2021-03-01,['Medium concern'],4.1
CAF,2021-09-01,['High concern'],181.14
CAF,2022-04-01,['Medium concern'],1.0
CAF,2022-05-01,['Medium concern'],63643.630107526886
CAF,2022-07-01,['High concern'],28.0
CAF,2022-09-01,['High concern'],0.13
CAF,2023-02-01,['Medium concern'],13.0
CAF,2023-06-01,['Medium concern'],5.2
CAF,2023-09-01,['High concern'],0.1
CAF,2024-03-01,['Medium concern'],109.0
