iso3,month,INFORM,VU,CC,HA
AFG,2016-05-01,7.9,7.1,8.0,8.6
AFG,2016-06-01,7.9,7.1,8.0,8.6
AFG,2016-07-01,7.9,7.1,8.0,8.6
AFG,2016-08-01,7.9,7.1,8.0,8.6
AFG,2016-09-01,7.9,7.1,8.0,8.6
AFG,2016-10-01,7.9,7.1,8.0,8.6
AFG,2016-11-01,7.9,7.1,8.0,8.6
AFG,2016-12-01,7.9,7.1,8.0,8.6
AFG,2017-01-01,7.9,7.1,8.0,8.6
AFG,2017-02-01,7.9,7.1,8.0,8.6
AFG,2017-03-01,7.9,7.1,8.0,8.6
AFG,2017-04-01,7.9,7.1,8.0,8.6
AFG,2017-05-01,7.8,7.1,7.7,8.8
AFG,2017-06-01,7.8,7.1,7.7,8.8
AFG,2017-07-01,7.8,7.1,7.7,8.8
AFG,2017-08-01,7.8,7.1,7.7,8.8
AFG,2017-09-01,7.8,7.1,7.7,8.8
AFG,2017-10-01,7.8,7.1,7.7,8.8
AFG,2017-11-01,7.8,7.1,7.7,8.8
AFG,2017-12-01,7.8,7.1,7.7,8.8
AFG,2018-01-01,7.8,7.1,7.7,8.8
AFG,2018-02-01,7.8,7.1,7.7,8.8
AFG,2018-03-01,7.8,7.1,7.7,8.8
AFG,2018-04-01,7.8,7.1,7.7,8.8
AFG,2018-05-01,7.7,7.1,7.5,8.7
AFG,2018-06-01,7.7,7.1,7.5,8.7
AFG,2018-07-01,7.7,7.1,7.5,8.7
AFG,2018-08-01,7.7,7.1,7.5,8.7
AFG,2018-09-01,7.7,7.1,7.5,8.7
AFG,2018-10-01,7.7,7.1,7.5,8.7
AFG,2018-11-01,7.7,7.1,7.5,8.7
AFG,2018-12-01,7.7,7.1,7.5,8.7
AFG,2019-01-01,7.7,7.1,7.5,8.7
AFG,2019-02-01,7.7,7.1,7.5,8.7
AFG,2019-03-01,7.7,7.1,7.5,8.7
AFG,2019-04-01,7.7,7.1,7.5,8.7
AFG,2019-05-01,7.8,7.2,7.5,8.8
AFG,2019-06-01,7.8,7.2,7.5,8.8
AFG,2019-07-01,7.8,7.2,7.5,8.8
AFG,2019-08-01,7.8,7.2,7.5,8.8
AFG,2019-09-01,7.8,7.2,7.5,8.8
AFG,2019-10-01,7.8,7.2,7.5,8.8
AFG,2019-11-01,7.8,7.2,7.5,8.8
AFG,2019-12-01,7.8,7.2,7.5,8.8
AFG,2020-01-01,7.8,7.2,7.5,8.8
AFG,2020-02-01,7.8,7.2,7.5,8.8
AFG,2020-03-01,7.8,7.2,7.5,8.8
AFG,2020-04-01,7.8,7.2,7.5,8.8
AFG,2020-05-01,8.0,8.2,7.2,8.8
AFG,2020-06-01,8.0,8.2,7.2,8.8
AFG,2020-07-01,8.0,8.2,7.2,8.8
AFG,2020-08-01,8.0,8.2,7.2,8.8
AFG,2020-09-01,8.0,8.2,7.2,8.8
AFG,2020-10-01,8.0,8.2,7.2,8.8
AFG,2020-11-01,8.0,8.2,7.2,8.8
AFG,2020-12-01,8.0,8.2,7.2,8.8
AFG,2021-01-01,8.0,8.2,7.2,8.8
AFG,2021-02-01,8.0,8.2,7.2,8.8
AFG,2021-03-01,8.0,8.2,7.2,8.8
AFG,2021-04-01,8.0,8.2,7.2,8.8
AFG,2021-05-01,8.1,8.2,7.3,8.9
AFG,2021-06-01,8.1,8.2,7.3,8.9
AFG,2021-07-01,8.1,8.2,7.3,8.9
AFG,2021-08-01,8.1,8.2,7.3,8.9
AFG,2021-09-01,8.1,8.2,7.3,8.9
AFG,2021-10-01,8.1,8.2,7.3,8.9
AFG,2021-11-01,8.1,8.2,7.3,8.9
AFG,2021-12-01,8.1,8.2,7.3,8.9
AFG,2022-01-01,8.1,8.2,7.3,8.9
AFG,2022-02-01,8.1,8.2,7.3,8.9
AFG,2022-03-01,8.1,8.2,7.3,8.9
AFG,2022-04-01,8.1,8.2,7.3,8.9
AFG,2022-05-01,8.2,8.4,7.3,8.9
AFG,2022-06-01,8.2,8.4,7.3,8.9
AFG,2022-07-01,8.2,8.4,7.3,8.9
AFG,2022-08-01,8.2,8.4,7.3,8.9
AFG,2022-09-01,8.2,8.4,7.3,8.9
AFG,2022-10-01,8.2,8.4,7.3,8.9
AFG,2022-11-01,8.2,8.4,7.3,8.9
AFG,2022-12-01,8.2,8.4,7.3,8.9
AFG,2023-01-01,8.2,8.4,7.3,8.9
AFG,2023-02-01,8.2,8.4,7.3,8.9
AFG,2023-03-01,8.2,8.4,7.3,8.9
AFG,2023-04-01,8.2,8.4,7.3,8.9
AFG,2023-05-01,8.1,8.5,7.1,8.9
AFG,2023-06-01,8.1,8.5,7.1,8.9
AFG,2023-07-01,8.1,8.5,7.1,8.9
AFG,2023-08-01,8.1,8.5,7.1,8.9
AFG,2023-09-01,8.1,8.5,7.1,8.9
AFG,2023-10-01,8.1,8.5,7.1,8.9
AFG,2023-11-01,8.1,8.5,7.1,8.9
AFG,2023-12-01,8.1,8.5,7.1,8.9
AFG,2024-01-01,8.1,8.5,7.1,8.9
