iso3,month,inform_severity_index
AFG,2019-01-01,4.133333333333334
AFG,2019-02-01,4.4
AFG,2019-03-01,3.25
AFG,2019-04-01,3.35
AFG,2019-05-01,4.5
AFG,2019-06-01,4.5
AFG,2019-07-01,4.5
AFG,2019-08-01,4.5
AFG,2019-09-01,4.5
AFG,2019-10-01,4.4
AFG,2019-11-01,4.4
AFG,2019-12-01,4.4
AFG,2020-01-01,4.4
AFG,2020-02-01,4.4
AFG,2020-03-01,4.5
AFG,2020-04-01,4.5
AFG,2020-05-01,4.5
AFG,2020-06-01,4.5
AFG,2020-07-01,4.5
AFG,2020-08-01,4.5
AFG,2020-09-01,4.6
AFG,2020-10-01,4.6
AFG,2020-11-01,4.6
AFG,2020-12-01,4.6
AFG,2021-01-01,4.6
AFG,2021-02-01,4.6
AFG,2021-03-01,4.6
AFG,2021-04-01,4.6
AFG,2021-05-01,4.6
AFG,2021-06-01,4.7
AFG,2021-07-01,4.7
AFG,2021-08-01,4.7
AFG,2021-09-01,4.7
AFG,2021-10-01,4.7
AFG,2021-11-01,4.7
AFG,2021-12-01,4.7
AFG,2022-01-01,4.6
AFG,2022-02-01,4.6
AFG,2022-03-01,4.6
AFG,2022-04-01,4.5
AFG,2022-05-01,4.4
AFG,2022-06-01,3.75
AFG,2022-07-01,3.75
AFG,2022-08-01,3.75
AFG,2022-09-01,3.75
AFG,2022-10-01,3.75
AFG,2022-11-01,3.75
AFG,2022-12-01,3.75
AFG,2023-01-01,3.75
AFG,2023-02-01,3.75
AFG,2023-03-01,3.75
AFG,2023-04-01,4.4
AFG,2023-05-01,4.4
AFG,2023-06-01,4.5
AFG,2023-07-01,4.5
AFG,2023-08-01,4.5
AFG,2023-09-01,4.5
AFG,2023-10-01,3.5500000000000003
AFG,2023-11-01,3.7
AFG,2023-12-01,3.7
AFG,2024-01-01,3.7
AFG,2024-02-01,3.6
AFG,2024-03-01,3.6
AFG,2024-04-01,3.6
AFG,2024-05-01,3.6
AFG,2024-06-01,3.5
AFG,2024-07-01,3.5
AFG,2024-08-01,3.5
AFG,2024-09-01,3.5
AFG,2024-10-01,3.6
AFG,2024-11-01,4.4
AFG,2024-12-01,4.4
AFG,2025-01-01,4.4
AFG,2025-02-01,4.5
AFG,2025-03-01,4.5
AFG,2025-04-01,4.5
AGO,2021-12-01,3.1
AGO,2022-01-01,3.1
AGO,2022-02-01,3.1
AGO,2022-03-01,3.1
AGO,2022-04-01,3.1
AGO,2022-05-01,3.1
AGO,2022-06-01,3.2
AGO,2022-07-01,3.2
AGO,2022-08-01,3.3
AGO,2022-09-01,3.3
AGO,2022-10-01,3.3
AGO,2022-11-01,3.1
AGO,2022-12-01,3.1
AGO,2023-01-01,3.1
AGO,2023-02-01,3.1
AGO,2023-03-01,3.1
AGO,2023-04-01,3.1
AGO,2023-05-01,3.1
AGO,2023-06-01,3.1
AGO,2023-07-01,3.1
AGO,2023-08-01,3.1
AGO,2023-09-01,3.1
AGO,2023-10-01,3.1
AGO,2023-11-01,3.2
AGO,2023-12-01,3.2
AGO,2024-01-01,3.2
AGO,2024-02-01,3.1
AGO,2024-03-01,3.1
AGO,2024-04-01,3.1
AGO,2024-05-01,3.1
AGO,2024-06-01,3.1
AGO,2024-07-01,2.8
AGO,2024-08-01,2.8
AGO,2024-09-01,2.8
AGO,2024-10-01,2.7
AGO,2024-11-01,2.7
AGO,2024-12-01,2.7
AGO,2025-01-01,2.9
AGO,2025-02-01,2.9
AGO,2025-03-01,2.8
AGO,2025-04-01,2.8
ARG,2019-02-01,0.9
ARM,2021-01-01,1.7
ARM,2021-02-01,1.7
ARM,2021-03-01,1.6
ARM,2021-04-01,1.7
ARM,2021-05-01,1.7
ARM,2021-06-01,1.7
