feature,importance
disp_6m_avg,0.10929193379495668
logfat_risk3_lag1,0.10134082720740611
logfat_risk_3,0.0845822751183966
logfat_risk3_3m_avg,0.06552381674438762
logfat_risk3_6m_avg,0.061121235605459845
logfat_risk12_3m_avg,0.05682337776055189
logfat_risk12_6m_avg,0.048234607007557974
disp_3m_avg,0.04528053942180729
risk12_lag1,0.03478131127050386
rolling_3m_displacements,0.030740156087637967
logfat_risk12_lag2,0.02458453088201223
risk12_6m_avg,0.023884584411190457
risk12_lag2,0.022548002881815438
fat_3m_avg,0.0199050517678668
risk12_3m_avg,0.01905432504396953
fatalities,0.017306916339552364
risk_12,0.016725690563617945
Battles,0.015196854432219811
VU,0.013647050559701869
risk3_6m_avg,0.011631681100769538
fatalities_lag1,0.011232871580782643
fat_6m_avg,0.010813787451539911
risk_3,0.0101056018015128
risk3_lag2,0.00979278926707552
fatalities_lag2,0.00936725606810882
INFORM,0.00878333325851493
CC,0.008270521605768764
Explosions/Remote violence,0.008186070273571306
Protests,0.007652530847635305
acled_disp_score_mean,0.007612294305656081
Riots,0.007348511224921527
conflict_severity_index,0.006896366192155382
Strategic developments,0.006560914766085921
acled_disp_score_max,0.006519502444863602
monthly_displacement,0.006482388585020017
Violence against civilians,0.006463443991849488
event_count,0.006332560091379908
acled_semantic_intensity,0.0063135340008776955
lethality_rate,0.006233254635342034
HA,0.005192510582793871
disp_change_lag2_to_now,0.004613122104534057
disp_per_event,0.004529377468158604
protracted_signal,0.004467551136760605
p_sig2,0.004041923932145218
disp_per_fatality,0.0035203425262135407
p_sig1,0.00016275978476716383
p_sig3,0.00011439493700233495
hard_onset_signal,9.72424250255699e-05
h_sig2,8.490708055209647e-05
h_sig1,3.567628003275305e-06
INFORM_high_last_5m,1.7718359243289384e-16
INFORM_above_06,5.841376488938057e-17
