feature,importance
disp_6m_avg,0.0889008203081133
logfat_risk3_lag2,0.0701012468008355
logfat_risk3_3m_avg,0.06942210546333819
logfat_risk3_6m_avg,0.0546441701728895
logfat_risk_3,0.04984611320644515
logfat_risk3_lag1,0.038519803017693574
logfat_risk12_lag2,0.03618072056002105
logfat_risk12_6m_avg,0.035458726623793874
logfat_risk12_3m_avg,0.03386610687812119
fat_6m_avg,0.031043702222599785
logfat_risk12_lag1,0.030748171100954697
risk12_lag1,0.029443109662644636
disp_3m_avg,0.028883196869429112
fatalities,0.026370064803727535
logfat_risk_12,0.024240916594598014
rolling_3m_displacements,0.02167780881545439
Battles,0.019705138956679538
fatalities_lag1,0.018515970210844366
risk12_lag2,0.01734535757746099
risk12_6m_avg,0.016221814319364217
risk12_3m_avg,0.015748873230777564
risk_12,0.01560801491302118
disp_diff_3m_6m,0.01211128725815456
fat_3m_avg,0.010692336381647452
VU,0.009959988643221257
fatalities_lag2,0.008201023772984073
HA,0.008087181650779188
risk3_3m_avg,0.007961723463165099
Explosions/Remote violence,0.007070025460387008
INFORM,0.0070655540921895615
CC,0.006435153126803243
lethality_rate,0.006423839379062365
monthly_displacement_lag1,0.00640297598317844
logfat_risk12_change_2m,0.006392341867453541
risk12_change_2m,0.006322828296495049
risk3_6m_avg,0.006286828139843064
monthly_displacement,0.006275410694286292
risk3_change_2m,0.00582392421525312
Strategic developments,0.0057717347484895825
Protests,0.00557841044211783
acled_disp_score_mean,0.005445619811682863
Violence against civilians,0.005065746662549382
risk3_lag1,0.004968849717074318
acled_disp_score_max,0.0049460291786629605
Riots,0.004822874131606017
conflict_severity_index,0.004772826356439523
logfat_risk3_change_2m,0.004754914096510894
event_count,0.004409275036055405
disp_per_event,0.004267743687890351
acled_semantic_intensity,0.004179034120533022
risk3_lag2,0.004149085944519831
risk_3,0.004045181371510971
p_sig2,0.0036885831771831037
protracted_signal,0.0036108729009178887
disp_per_fatality,0.003456139386690208
monthly_displacement_lag2,0.003222200381097218
fat_diff_3m_6m,0.0028722206744159124
fat_change_lag2_to_now,0.002702967442738635
bat_civ,0.002580003181803331
disp_change_lag1_to_now,0.0024565806628498157
fat_change_lag1_to_now,0.002419276250753248
disp_change_lag2_to_now,0.0022834658888822674
hdx_3m_sum,0.0019504132714768436
hdx_high_3m_sum,0.0008074745275706495
acled_disp_events_ratio,0.00078939835126949
hdx_value,0.0007612753468530755
logfat_risk_3_high_last_5m,0.0007486844619230235
bat_gr90,0.0007310073512426495
mean_value_hdx,0.0007274773137192094
hdx_medium_3m_sum,0.0006923414868823489
acled_disp_events_count,0.00030662172073814514
risk_gt_025,0.00025444980659968447
hdx_med_high_count,0.0002478576562864071
exp_gr150,0.00024148521884000544
logfat_risk_12_high_last_5m,0.00021332001211468667
hdx_alert_High concern,0.00018643921437174062
hdx_alert_Medium concern,0.000172788004700766
p_sig1,0.00015000865441368007
logfat_risk_3_gt_4,0.00012963930416713042
logfat_risk_12_above_5,0.00011626905837700732
h_sig2,9.354270747974869e-05
hard_onset_signal,9.239377278384581e-05
bat_gr90_and_exp_gr150,4.705161872459853e-05
bat_gr90_and_exp_gr150_last_5m,4.46482311942026e-05
p_sig3,2.1402921585630278e-05
INFORM_high_last_5m,8.616132717319014e-17
h_sig1,2.5647138391658682e-17
INFORM_above_06,1.0969399400268634e-17
