feature,importance
disp_6m_avg,0.11160695601998342
logfat_risk3_3m_avg,0.09639322710929907
logfat_risk_3,0.08630595355403889
logfat_risk3_lag1,0.06642479208018676
logfat_risk12_6m_avg,0.06059605007569946
logfat_risk12_lag2,0.046653002184273464
logfat_risk3_6m_avg,0.04535107828461021
logfat_risk12_3m_avg,0.03990592698172513
risk12_6m_avg,0.03166155563899453
risk12_lag2,0.02748362379545968
disp_3m_avg,0.027085791098537537
fat_3m_avg,0.024795467385493226
rolling_3m_displacements,0.024287364800136147
risk12_lag1,0.0220921739431102
fatalities_lag1,0.019277010991898238
fatalities,0.01857004749344176
risk_12,0.014022437440176777
disp_diff_3m_6m,0.013542056135796812
risk12_3m_avg,0.01162462842894482
VU,0.010596663516925033
HA,0.00950289158337175
monthly_displacement,0.00942748088496045
Explosions/Remote violence,0.009242105902239763
Battles,0.009042589254755854
INFORM,0.008979558347704253
risk_3,0.008956529220402567
risk3_6m_avg,0.00802347033210247
risk3_lag2,0.0078366789726587
Protests,0.0075128472077540575
lethality_rate,0.007197203943120584
CC,0.007130834366008046
disp_per_event,0.007011314180234237
Riots,0.00673397058652357
acled_disp_score_max,0.006679358746789747
acled_semantic_intensity,0.006524127633936945
fat_6m_avg,0.005913754851605847
conflict_severity_index,0.005907732096426733
event_count,0.005709349312565754
Violence against civilians,0.005672469672292124
fatalities_lag2,0.005538835566487045
monthly_displacement_lag1,0.005371969901637787
Strategic developments,0.005323937634005536
acled_disp_score_mean,0.005273248927781288
disp_per_fatality,0.0051500274857076474
p_sig2,0.005074009027842462
fat_diff_3m_6m,0.004075685513209995
fat_change_lag2_to_now,0.004035881747706102
monthly_displacement_lag2,0.0035422293583860826
fat_change_lag1_to_now,0.003447133477983967
disp_change_lag1_to_now,0.003429034832871807
disp_change_lag2_to_now,0.002707106312672516
protracted_signal,0.002574502886051017
bat_gr90,0.0012210022864781694
acled_disp_events_ratio,0.0008135737111760738
bat_gr90_and_exp_gr150_last_5m,0.0001926412491982557
p_sig1,0.00015811485950259756
hard_onset_signal,0.00015030254291878735
exp_gr150,0.00012750734128106814
acled_disp_events_count,0.00012275445115987518
bat_gr90_and_exp_gr150,0.0001210157620158929
bat_civ,0.0001102212587172986
h_sig2,8.339925928147496e-05
p_sig3,7.509113968054166e-05
h_sig1,6.994120618728858e-07
INFORM_high_last_5m,1.7233153309987626e-16
INFORM_above_06,7.672534620817493e-17
