feature,importance
disp_6m_avg,0.1749834795127239
rolling_3m_displacements,0.09303011937824526
fat_6m_avg,0.07917295577616051
disp_3m_avg,0.07504292535063994
fatalities_lag1,0.07276077527452873
Battles,0.0713377370433808
fatalities,0.06553198860146761
fat_3m_avg,0.051406783436692784
fatalities_lag2,0.04380340147386167
Violence against civilians,0.030030780041675
Explosions/Remote violence,0.029603679627938157
lethality_rate,0.0229287891209225
Strategic developments,0.021746715475613725
acled_semantic_intensity,0.021101142254108612
acled_disp_score_mean,0.019339947787498857
acled_disp_score_max,0.019109719893211297
conflict_severity_index,0.018931982217158236
Protests,0.018020701381504696
monthly_displacement,0.016143270709585118
event_count,0.014446778118215573
Riots,0.01430077106331321
disp_per_event,0.01181270708560179
disp_per_fatality,0.008449688377231453
disp_change_lag2_to_now,0.006963160998720686
