feature,importance
disp_6m_avg,0.17505508340828174
Battles,0.08525652559331086
fatalities,0.07137719035476221
fat_6m_avg,0.07043424976266202
disp_3m_avg,0.06595331296752775
fat_3m_avg,0.053734880202584316
rolling_3m_displacements,0.048868779183863446
fatalities_lag1,0.047349622486377314
HA,0.04083476703902094
INFORM,0.040255616676283135
fatalities_lag2,0.03677795438191317
Explosions/Remote violence,0.0324288322823796
VU,0.0293494769531945
monthly_displacement,0.020159628105815407
Violence against civilians,0.020066901881634992
Strategic developments,0.017739838377952927
lethality_rate,0.01717726778287044
CC,0.015469532351753208
acled_disp_score_mean,0.014369563919665403
Protests,0.012867529265416353
acled_semantic_intensity,0.012839013010358002
conflict_severity_index,0.012542950173659789
acled_disp_score_max,0.011529467796171346
Riots,0.010288830631970378
event_count,0.010287569066955523
disp_per_event,0.009805404424693479
disp_per_fatality,0.00951869556843822
disp_change_lag2_to_now,0.007661168085768459
INFORM_above_06,3.482647149581361e-07
INFORM_high_last_5m,1.6767016799293301e-16
