feature,importance
disp_6m_avg,0.16538879427278913
rolling_3m_displacements,0.07181486470195578
fat_6m_avg,0.06944356263583525
fatalities,0.06857825743277404
disp_3m_avg,0.06564397369527387
fat_3m_avg,0.06310609299941228
Battles,0.060430613842080795
fatalities_lag2,0.04342512625743075
fatalities_lag1,0.04325616749951065
HA,0.039806470122828994
VU,0.03500783926073199
INFORM,0.025490685348902743
Explosions/Remote violence,0.023659324237614063
Violence against civilians,0.021041124132968075
Strategic developments,0.016524807904257133
disp_per_fatality,0.016366748911130165
CC,0.015706417167048053
lethality_rate,0.015546423364083042
monthly_displacement,0.015429172111402373
protracted_signal,0.014854600616026059
conflict_severity_index,0.013404162003015833
acled_semantic_intensity,0.012866935910274328
Protests,0.012754624805673733
acled_disp_score_mean,0.012266181456629395
acled_disp_score_max,0.012204542933801037
event_count,0.011803078448308848
p_sig2,0.011701536889071688
Riots,0.010251044027607292
disp_per_event,0.006337998345985467
disp_change_lag2_to_now,0.00506720445312982
p_sig1,0.00021988996289464859
hard_onset_signal,0.0002137339807919844
p_sig3,0.00019897586532072276
h_sig2,0.00018286880932798566
h_sig1,5.347835478366307e-06
INFORM_high_last_5m,8.077586336151772e-07
INFORM_above_06,1.8784361912043081e-16
