feature,importance
disp_6m_avg,0.14157795151738622
logfat_risk3_3m_avg,0.10612578273670792
logfat_risk3_lag1,0.07291642960863735
logfat_risk12_6m_avg,0.07095594368502205
logfat_risk_3,0.06286620063024449
logfat_risk3_6m_avg,0.06259990558186226
logfat_risk12_3m_avg,0.046736444632461176
disp_3m_avg,0.036594604910271264
logfat_risk12_lag2,0.03164019720643671
rolling_3m_displacements,0.030705583223456998
risk12_lag1,0.029452358477116945
fatalities,0.02703477679679279
risk_12,0.02089265558115316
fat_6m_avg,0.020019323023977784
risk12_lag2,0.0194128862883903
risk12_3m_avg,0.01933378528415978
Battles,0.019245399656950768
risk12_6m_avg,0.01715195228909339
risk3_6m_avg,0.01306694053935198
risk_3,0.010164852396798181
risk3_lag2,0.00976895693399193
acled_semantic_intensity,0.009410724068928117
fatalities_lag1,0.009072862721896226
Protests,0.008720576623095836
Strategic developments,0.008646645987977286
Explosions/Remote violence,0.008452021964932924
Riots,0.008393572595529824
Violence against civilians,0.008364788211196857
acled_disp_score_max,0.008317746689995449
fat_3m_avg,0.008238427453378798
monthly_displacement,0.008161601239702894
acled_disp_score_mean,0.0080045936568079
event_count,0.0074548802561008945
conflict_severity_index,0.0070492171014017065
lethality_rate,0.006715675386935448
disp_per_event,0.004886100833977995
fatalities_lag2,0.004413943156249612
disp_change_lag2_to_now,0.003866360723394335
disp_per_fatality,0.0035673303282344137
