feature,importance
disp_6m_avg,0.14600796814859104
logfat_risk3_3m_avg,0.10400519543880894
logfat_risk3_6m_avg,0.07437582999073718
logfat_risk12_6m_avg,0.06313017099381102
logfat_risk3_lag1,0.0573023609253343
logfat_risk12_3m_avg,0.042618186311939046
logfat_risk_3,0.040855240783752224
Battles,0.03208939386833776
logfat_risk12_lag2,0.03171630772888454
disp_3m_avg,0.031008308974569916
rolling_3m_displacements,0.02521181232863903
fatalities,0.02476655234420179
risk12_6m_avg,0.024243454558109626
risk12_lag2,0.023334339555292915
fatalities_lag1,0.02272700921670204
risk12_3m_avg,0.021332903602104998
fat_6m_avg,0.018612762559742327
risk_12,0.015800577418401855
VU,0.014331194000274102
fat_3m_avg,0.013184046670341112
risk_3,0.012404774893877767
risk12_lag1,0.010730863113812956
INFORM,0.010153057727556406
Explosions/Remote violence,0.008930133844397736
HA,0.008886116327329099
monthly_displacement,0.008800844361862965
acled_disp_score_mean,0.008780766968349321
risk3_lag2,0.008686557347449842
Violence against civilians,0.008579228566783226
risk3_6m_avg,0.008543675049943309
CC,0.00768163513977405
Strategic developments,0.007327951493858169
Riots,0.007079558533412416
Protests,0.006944701079590657
fatalities_lag2,0.006576954586994085
acled_disp_score_max,0.006538478927820589
acled_semantic_intensity,0.006408678276830615
event_count,0.0060603113778025615
conflict_severity_index,0.005680100673570619
lethality_rate,0.0055488135946169135
disp_per_fatality,0.004919217557031539
disp_per_event,0.004404988441994923
disp_change_lag2_to_now,0.0036789766967642947
INFORM_high_last_5m,2.0560215213538352e-16
INFORM_above_06,1.3145308171256899e-16
