feature,importance
disp_6m_avg,0.09867233090406033
logfat_risk3_3m_avg,0.08145398284648898
logfat_risk_3,0.07399033016152447
logfat_risk3_6m_avg,0.05998544036593419
logfat_risk3_lag1,0.05928704872042213
logfat_risk12_6m_avg,0.05722151498559422
logfat_risk12_3m_avg,0.03999503472735238
risk12_3m_avg,0.03864585028967825
rolling_3m_displacements,0.03818582611954805
disp_3m_avg,0.038160024146153194
risk12_lag2,0.03577123807331295
logfat_risk12_lag2,0.03412200621506554
fat_6m_avg,0.026068305161526844
Battles,0.0258960450580469
risk12_lag1,0.02485402632108232
risk12_6m_avg,0.02172752408493444
risk_12,0.020318995342096087
fatalities_lag1,0.0186048945779179
risk3_6m_avg,0.015029466894721403
risk3_lag2,0.014735565024420125
risk_3,0.01400938135054406
fat_3m_avg,0.013372812965275576
fatalities,0.01324153084340208
Strategic developments,0.011249911690754821
Explosions/Remote violence,0.009932793868742096
monthly_displacement,0.009665293105562116
lethality_rate,0.009269091522954577
Protests,0.00833925190169017
Riots,0.008264734598160262
acled_semantic_intensity,0.007832740891863078
acled_disp_score_max,0.007699346004707574
Violence against civilians,0.007628037284364503
conflict_severity_index,0.007527088860985671
fatalities_lag2,0.0072744750112142716
p_sig2,0.007142078497775671
event_count,0.007092022540011114
disp_per_fatality,0.006267775848494585
acled_disp_score_mean,0.006224603160971435
disp_per_event,0.005164534190176147
protracted_signal,0.004770404526290178
disp_change_lag2_to_now,0.004595258854173974
p_sig1,0.0002629087040234485
hard_onset_signal,0.00021198837967504702
h_sig2,0.00013150019957096704
p_sig3,0.00010074516392145616
h_sig1,4.240014814486258e-06
