feature,importance
disp_6m_avg,0.10853541165851129
logfat_risk3_lag2,0.08800759834527654
logfat_risk_3,0.0680771073703208
logfat_risk3_3m_avg,0.0668601260294678
logfat_risk3_6m_avg,0.0660632354256531
logfat_risk3_lag1,0.05745416271613845
logfat_risk12_6m_avg,0.05266973194906842
logfat_risk_12,0.03622285244474614
logfat_risk12_lag2,0.03228204409693135
logfat_risk12_lag1,0.03035830777844365
logfat_risk12_3m_avg,0.027673403349945502
rolling_3m_displacements,0.024665035088199675
disp_3m_avg,0.022063378586929052
risk12_6m_avg,0.02111620469396398
fatalities,0.019346016546541684
fat_3m_avg,0.014541486111198359
fat_6m_avg,0.014362088992426303
risk12_lag1,0.013017648481328666
risk_12,0.012821049889807224
risk12_3m_avg,0.011674081673125473
Battles,0.011609374087739098
monthly_displacement,0.011081043526816664
risk3_3m_avg,0.010028744736699376
risk_3,0.009342172193035424
Strategic developments,0.00928199084099035
risk12_lag2,0.008944541373702555
risk3_lag1,0.008832703233178136
Protests,0.00846035004318219
risk3_6m_avg,0.008052194941970263
risk12_change_2m,0.007911070721879451
logfat_risk3_change_2m,0.007800213273552702
risk3_change_2m,0.00731832505814494
logfat_risk12_change_2m,0.007056660560507227
fatalities_lag2,0.006477315797380997
risk3_lag2,0.006379635035238772
Riots,0.006271953766605478
acled_disp_score_max,0.00600918556654356
disp_per_event,0.006006600691849733
lethality_rate,0.00597992217349542
Violence against civilians,0.005970983336533514
Explosions/Remote violence,0.005916210686551147
event_count,0.005817306714202813
acled_disp_score_mean,0.005767793447266581
disp_per_fatality,0.005596578088251448
conflict_severity_index,0.005471971787542207
acled_semantic_intensity,0.00544221708430591
fatalities_lag1,0.004503345721015552
disp_change_lag2_to_now,0.00426187567964369
hdx_3m_sum,0.00264871777071226
logfat_risk_3_high_last_5m,0.0018766733519977171
hdx_high_3m_sum,0.0013801977162705911
mean_value_hdx,0.0010584021916818
hdx_medium_3m_sum,0.0010081288975784313
hdx_value,0.0009590799287865483
risk_gt_025,0.0005818399565167611
logfat_risk_12_high_last_5m,0.0005503085167744112
hdx_med_high_count,0.000178029235988564
logfat_risk_3_gt_4,0.0001488833517649333
hdx_alert_Medium concern,0.00011766568225908261
hdx_alert_High concern,6.510920512482774e-05
logfat_risk_12_above_5,2.371279869534324e-05
