feature,importance
disp_6m_avg,0.12968884505728864
logfat_risk3_6m_avg,0.0670183663242314
logfat_risk3_lag2,0.06529420164650183
logfat_risk3_3m_avg,0.06461590042353606
logfat_risk3_lag1,0.0516006352326389
logfat_risk12_3m_avg,0.046213834946760846
logfat_risk_3,0.040712494406012247
logfat_risk_12,0.03280670111102876
logfat_risk12_6m_avg,0.0314606487198035
logfat_risk12_lag2,0.031103239399273685
rolling_3m_displacements,0.027354592761020195
logfat_risk12_lag1,0.026734076377464062
risk12_3m_avg,0.024608716195360876
disp_3m_avg,0.024491942687476932
risk12_lag2,0.020357223610728798
fatalities,0.019435933201847673
fat_3m_avg,0.019426162405135505
risk12_6m_avg,0.018864858108951204
Battles,0.01565417468913226
fat_6m_avg,0.014164929023148965
risk12_lag1,0.013379310199170873
fatalities_lag2,0.011248757746551763
risk3_3m_avg,0.011141590094521056
VU,0.010275985879529376
risk_12,0.010087538371906929
Violence against civilians,0.008879842530907286
INFORM,0.00867748421116377
risk12_change_2m,0.008222399386906332
monthly_displacement,0.007544508239383265
logfat_risk12_change_2m,0.0073902230956589
risk_3,0.007285241432258304
Protests,0.00700855352032454
Explosions/Remote violence,0.006842731789687732
HA,0.006754017736951627
risk3_change_2m,0.006532913877335235
Strategic developments,0.0065179799455124246
Riots,0.006344043329571065
CC,0.006321705759815012
logfat_risk3_change_2m,0.006230821439172487
acled_disp_score_mean,0.006056731366972579
disp_per_event,0.005993775092422716
risk3_lag1,0.005783047325442632
risk3_lag2,0.005503818614502676
fatalities_lag1,0.005368074413967964
acled_semantic_intensity,0.00523844713339167
acled_disp_score_max,0.005214372926446138
risk3_6m_avg,0.005004314834023306
lethality_rate,0.004925512538209079
conflict_severity_index,0.004896879484105159
event_count,0.004192798484672326
disp_per_fatality,0.0038065405981800677
disp_change_lag2_to_now,0.002992769829882067
hdx_3m_sum,0.001811546857986683
hdx_value,0.001094105336403175
mean_value_hdx,0.001088380226117522
hdx_high_3m_sum,0.0009179053154006173
hdx_medium_3m_sum,0.0006745649254476085
logfat_risk_3_high_last_5m,0.00033760198852611956
hdx_med_high_count,0.00020576845251668048
risk_gt_025,0.00018560994484517816
logfat_risk_12_above_5,0.00014962841833873842
logfat_risk_3_gt_4,9.980836959932912e-05
hdx_alert_High concern,7.650315859153897e-05
hdx_alert_Medium concern,4.4554274686859203e-05
logfat_risk_12_high_last_5m,4.3815175651188086e-05
INFORM_high_last_5m,3.261044976243207e-17
INFORM_above_06,0.0
