feature,importance
disp_6m_avg,0.1030348108004502
logfat_risk3_3m_avg,0.06989029489708982
logfat_risk3_lag2,0.0627885678393583
logfat_risk3_lag1,0.053671466910346854
logfat_risk_12,0.050377993457791787
logfat_risk3_6m_avg,0.04923637317823538
logfat_risk12_6m_avg,0.046089698648743044
logfat_risk12_3m_avg,0.03969817579765227
logfat_risk_3,0.03471753184548033
logfat_risk12_lag2,0.03411680530669981
rolling_3m_displacements,0.028523059014458698
disp_3m_avg,0.025943071813492057
logfat_risk12_lag1,0.023883449040884637
Battles,0.023658559520286327
risk12_lag1,0.023266846326128007
fat_3m_avg,0.02291729083450164
risk_12,0.022821932312804355
fat_6m_avg,0.02133010800239953
fatalities_lag1,0.021109265670700955
risk12_6m_avg,0.01924652174088726
risk12_3m_avg,0.01355221080349095
risk12_lag2,0.012873686201841537
fatalities,0.01098271707433618
risk_3,0.009495514326175389
risk3_lag2,0.009396884383596928
risk3_6m_avg,0.009240995952020471
Violence against civilians,0.00922052520068559
fatalities_lag2,0.009038111168203893
logfat_risk12_change_2m,0.008339125794953417
risk3_change_2m,0.008029204553014141
monthly_displacement,0.007768314172023924
risk12_change_2m,0.007687598954737615
acled_disp_score_mean,0.0071683655723557786
Protests,0.00697571111585198
Strategic developments,0.006838841355159882
risk3_3m_avg,0.0065386455966830095
acled_disp_score_max,0.00625349101206722
Explosions/Remote violence,0.0061203316160121524
risk3_lag1,0.006080764672923222
logfat_risk3_change_2m,0.006065943752527843
Riots,0.005933673491202518
acled_semantic_intensity,0.00573283065579732
event_count,0.005484337921133838
disp_per_event,0.0053453722201099495
conflict_severity_index,0.004495639126074782
lethality_rate,0.004464877297457675
protracted_signal,0.004327081242676429
p_sig2,0.004200542446820513
disp_per_fatality,0.0039987635492258235
disp_change_lag2_to_now,0.0033110040662561345
hdx_3m_sum,0.0023537830366370267
mean_value_hdx,0.001268130369782933
hdx_high_3m_sum,0.0010215798628637489
hdx_medium_3m_sum,0.0009768257035289844
hdx_value,0.000930460002206926
risk_gt_025,0.0005138125102406927
logfat_risk_3_high_last_5m,0.0003237837346091847
hdx_med_high_count,0.00019459913369908555
logfat_risk_12_high_last_5m,0.0001910114608402936
h_sig2,0.00017163529464537625
p_sig1,0.00016996283344857828
hdx_alert_Medium concern,0.00016275795751517368
p_sig3,0.0001348718147843247
hard_onset_signal,0.00012555620440202425
logfat_risk_3_gt_4,0.00010018358764085733
logfat_risk_12_above_5,5.777469320146073e-05
hdx_alert_High concern,1.9626657710844614e-05
h_sig1,7.168884350535055e-07
