feature,importance
disp_6m_avg,0.17683256758647903
rolling_3m_displacements,0.09918213840183515
Battles,0.08802617319703461
fat_6m_avg,0.07795697685823375
fat_3m_avg,0.06946627648792035
disp_3m_avg,0.06905388532009976
fatalities,0.061946188833049955
fatalities_lag1,0.04508874850476442
fatalities_lag2,0.02827933258765654
Explosions/Remote violence,0.02740550351862637
lethality_rate,0.022794724437786223
Violence against civilians,0.022693270773344366
acled_disp_score_max,0.01879588286716192
Strategic developments,0.018446190842914798
acled_disp_score_mean,0.018203512111748636
acled_semantic_intensity,0.017908836757997263
p_sig2,0.01730418910770021
Protests,0.016888617427136716
protracted_signal,0.016629903715586185
event_count,0.016195618031905962
conflict_severity_index,0.015767744302988527
Riots,0.014670246573390102
monthly_displacement,0.013759404132155015
disp_per_event,0.009444896295261344
disp_per_fatality,0.008705510197220738
disp_change_lag2_to_now,0.007460894478355416
p_sig3,0.0003031678163146963
h_sig2,0.0002928276596678849
p_sig1,0.00029065642866777833
hard_onset_signal,0.00018312324287396623
h_sig1,2.29915041225245e-05
