feature,importance
disp_6m_avg,0.16165665959392794
disp_3m_avg,0.09392371567363733
Battles,0.07009722333303102
fat_3m_avg,0.06389750521049858
fatalities,0.06303820832567336
fatalities_lag1,0.06082566425987326
fat_6m_avg,0.05700027374078564
rolling_3m_displacements,0.05439152368216225
fatalities_lag2,0.03867241717732933
Explosions/Remote violence,0.02964168444401378
Strategic developments,0.028881519480925422
disp_diff_3m_6m,0.02789155671410837
Violence against civilians,0.020738075728264405
bat_civ,0.020417720616580082
acled_semantic_intensity,0.017427387761114264
conflict_severity_index,0.015385023500164621
Protests,0.01531602974916612
acled_disp_score_max,0.015262504461087765
event_count,0.015020833546528192
disp_per_event,0.014781110277241202
acled_disp_score_mean,0.01424971390111142
lethality_rate,0.01415569192907301
monthly_displacement,0.01404550369547492
Riots,0.012661544623089866
fat_diff_3m_6m,0.010330481834705196
monthly_displacement_lag2,0.008684203494160122
fat_change_lag2_to_now,0.008276546211370271
fat_change_lag1_to_now,0.00798036305652971
monthly_displacement_lag1,0.006621034977899595
disp_change_lag2_to_now,0.005631220730322305
disp_change_lag1_to_now,0.004628972826696648
disp_per_fatality,0.004142838636303032
acled_disp_events_ratio,0.0016075253564267157
bat_gr90,0.0011369476530287011
exp_gr150,0.0005306987017026578
acled_disp_events_count,0.0004284213718326661
bat_gr90_and_exp_gr150_last_5m,0.00037362941417306227
bat_gr90_and_exp_gr150,0.00024802430998719537
