feature,importance
disp_6m_avg,0.11003241898800782
fat_3m_avg,0.08853819025260182
rolling_3m_displacements,0.08749795384077086
Battles,0.0629677680678067
fat_6m_avg,0.05737726213924991
fatalities,0.05591249745610532
fatalities_lag1,0.05319899749775457
fatalities_lag2,0.040256398957573304
HA,0.03945954499896743
INFORM,0.03665744283570092
disp_3m_avg,0.03627666696783063
VU,0.028688967622947877
Violence against civilians,0.026572480588779084
disp_diff_3m_6m,0.025479348107495414
Explosions/Remote violence,0.02274233906930407
monthly_displacement,0.018587015762100038
lethality_rate,0.017171544360215025
Strategic developments,0.012813453085280768
CC,0.012611680725692666
event_count,0.012349609366369146
protracted_signal,0.011787722819451476
acled_disp_score_max,0.011763507862603688
Protests,0.011408456708509436
conflict_severity_index,0.010556522762542266
disp_per_event,0.010262463322472954
monthly_displacement_lag2,0.010170998451096069
acled_disp_score_mean,0.010125639196736338
acled_semantic_intensity,0.010101164991932728
p_sig2,0.009165290807219926
Riots,0.009145664395193072
disp_per_fatality,0.008007811943848413
fat_diff_3m_6m,0.007635467915940236
fat_change_lag2_to_now,0.00684284749622388
fat_change_lag1_to_now,0.006104555239677897
disp_change_lag2_to_now,0.005219909494031403
monthly_displacement_lag1,0.004885620297301781
disp_change_lag1_to_now,0.0037973584766080137
bat_civ,0.003550803352499862
bat_gr90,0.0013555960146578194
acled_disp_events_ratio,0.001034297336824459
exp_gr150,0.0008459439483204097
acled_disp_events_count,0.00022998884726151033
bat_gr90_and_exp_gr150,0.00022037971811812097
h_sig2,0.00018522344062668638
bat_gr90_and_exp_gr150_last_5m,0.0001315704597304677
p_sig1,0.00012795701616899626
hard_onset_signal,7.569037990674643e-05
p_sig3,6.670516283402974e-05
h_sig1,3.213275558641241e-06
INFORM_high_last_5m,4.817554933126566e-08
INFORM_above_06,4.1299800262883015e-17
