feature,importance
disp_6m_avg,0.11206706619411543
logfat_risk_3,0.08936429375316227
logfat_risk3_3m_avg,0.08897571341006592
logfat_risk3_lag1,0.07944356714683945
logfat_risk3_6m_avg,0.06916026970116972
logfat_risk12_6m_avg,0.046466168806925355
logfat_risk12_lag2,0.03859277720490512
logfat_risk12_3m_avg,0.03689673560240573
rolling_3m_displacements,0.034570615221962746
disp_3m_avg,0.02873884164185769
fat_3m_avg,0.02682034120579406
risk12_lag2,0.02437751743247033
risk12_6m_avg,0.023262426163608567
fat_6m_avg,0.021249478647591597
risk_12,0.019153335086233562
risk12_lag1,0.01814417622660164
fatalities,0.01705072387610208
disp_diff_3m_6m,0.015710657727046457
risk12_3m_avg,0.013910265133901915
Battles,0.013570959819101409
risk3_lag2,0.012463119599719403
fatalities_lag1,0.010622394843434699
fatalities_lag2,0.009696436883608288
Violence against civilians,0.00941588150285884
risk3_6m_avg,0.009058442861956551
Protests,0.008887320541384943
monthly_displacement,0.00862182573971088
risk_3,0.008237689261829781
Strategic developments,0.008147271541664513
acled_semantic_intensity,0.00803576706044297
Explosions/Remote violence,0.008019650120816187
acled_disp_score_mean,0.007161767206378076
disp_per_event,0.006721957663801055
Riots,0.006628792289251307
event_count,0.006392827487665049
conflict_severity_index,0.0063879247698194665
monthly_displacement_lag1,0.006304766200888761
acled_disp_score_max,0.005922976429791329
disp_per_fatality,0.005389242012367585
lethality_rate,0.005073550832150431
fat_change_lag2_to_now,0.00425167863277719
fat_diff_3m_6m,0.004080297657605831
monthly_displacement_lag2,0.003714862804485292
fat_change_lag1_to_now,0.0034525366104922943
disp_change_lag2_to_now,0.0032638261803713446
disp_change_lag1_to_now,0.0032070632623995986
bat_gr90,0.0012025668058389058
acled_disp_events_ratio,0.001152323601394366
bat_civ,0.0004054505214238199
acled_disp_events_count,0.00021282974875892215
bat_gr90_and_exp_gr150,0.00016366566157757475
bat_gr90_and_exp_gr150_last_5m,0.00014463163677036465
exp_gr150,3.2732024703522686e-05
