feature,importance
disp_6m_avg,0.1322139743533159
logfat_risk3_3m_avg,0.0750648294467408
logfat_risk3_lag1,0.061765391885770404
logfat_risk3_6m_avg,0.06168498368057511
logfat_risk12_6m_avg,0.05729792588284306
logfat_risk_3,0.0567092252820648
logfat_risk12_lag2,0.04480464353305214
logfat_risk12_3m_avg,0.04355647289741145
risk12_lag1,0.03547888832609705
disp_3m_avg,0.02710235182439851
risk12_6m_avg,0.0263906380526409
rolling_3m_displacements,0.02347318409154391
fat_6m_avg,0.021352865175127324
risk12_lag2,0.02127147194271424
fat_3m_avg,0.020015567872005466
Battles,0.018981264713995402
fatalities,0.018940402985909106
risk3_lag2,0.016009088344898486
VU,0.014808795307212252
risk3_6m_avg,0.013839002422080669
fatalities_lag1,0.013825480115048902
disp_diff_3m_6m,0.012995113046464803
risk12_3m_avg,0.011472347630076731
HA,0.010786813234174554
Explosions/Remote violence,0.009892826301236134
monthly_displacement,0.009800381542982297
risk_12,0.009273680371163058
risk_3,0.008745037996858128
event_count,0.008008846615255685
INFORM,0.007918126903461699
monthly_displacement_lag1,0.007889770824073756
CC,0.007015187610320093
conflict_severity_index,0.006787650306512569
lethality_rate,0.006707049807695472
acled_disp_score_mean,0.006558985339771231
Protests,0.006408915711452635
acled_disp_score_max,0.0062174231254520365
Violence against civilians,0.005939633555897281
Strategic developments,0.005939154952343087
Riots,0.005463293801993539
acled_semantic_intensity,0.005355211801364907
fat_diff_3m_6m,0.005064502498618198
disp_per_event,0.004770594298515237
disp_per_fatality,0.004223043124915603
fatalities_lag2,0.0038812930998015204
fat_change_lag2_to_now,0.003639779699299249
fat_change_lag1_to_now,0.002934263243816301
disp_change_lag2_to_now,0.002818864587687202
disp_change_lag1_to_now,0.002707949891794116
monthly_displacement_lag2,0.0026979075462419387
bat_gr90,0.002160409273025353
acled_disp_events_ratio,0.0007502749256600359
exp_gr150,0.0002801550198942379
bat_civ,0.00010999091170449839
acled_disp_events_count,8.490532742023163e-05
bat_gr90_and_exp_gr150_last_5m,7.705519004488068e-05
bat_gr90_and_exp_gr150,3.711274756565703e-05
INFORM_above_06,1.0145625718737273e-16
INFORM_high_last_5m,1.0268024473121592e-18
