feature,importance
disp_6m_avg,0.09788675758026648
logfat_risk3_lag2,0.0789686042327179
logfat_risk_3,0.05919317678802128
logfat_risk3_3m_avg,0.058357478814429216
logfat_risk3_lag1,0.05795521072190922
logfat_risk12_3m_avg,0.050110758050778956
logfat_risk_12,0.04565372570737655
logfat_risk12_lag2,0.03887266575838376
logfat_risk12_6m_avg,0.03572541743685326
logfat_risk3_6m_avg,0.03134864839887266
rolling_3m_displacements,0.031145137762667925
disp_3m_avg,0.027998746753872338
risk_12,0.022259044820469674
risk12_6m_avg,0.02224688622492572
risk12_lag2,0.02130114958590996
risk12_lag1,0.019535729274385332
fat_3m_avg,0.01695131328333181
risk3_lag2,0.016088278013537235
logfat_risk12_lag1,0.01574721060921287
fat_6m_avg,0.015602517084058295
risk12_3m_avg,0.014035141943821773
disp_diff_3m_6m,0.012806258926802164
risk3_6m_avg,0.0118499297184743
risk3_lag1,0.011631198742927833
fatalities,0.00981888801146479
Battles,0.009245801889574246
risk_3,0.008256397879783326
fatalities_lag1,0.0077260614769935326
Violence against civilians,0.007719137020503651
risk3_3m_avg,0.007666786612980188
risk12_change_2m,0.007389171622587386
Riots,0.007174068365456196
acled_semantic_intensity,0.006621519748903617
risk3_change_2m,0.006593190520584482
Protests,0.006489670900544014
logfat_risk3_change_2m,0.006361695332542047
logfat_risk12_change_2m,0.006115030104454584
monthly_displacement,0.006059006113816976
monthly_displacement_lag1,0.0059690706625956744
acled_disp_score_max,0.005853410886563108
acled_disp_score_mean,0.0057880760603064
lethality_rate,0.005523854868112126
Strategic developments,0.0054966036788282385
Explosions/Remote violence,0.005438269016897251
event_count,0.005320369291663668
disp_per_fatality,0.0046055256192517055
disp_per_event,0.004464967852076239
conflict_severity_index,0.004107697907323087
monthly_displacement_lag2,0.004019136548320359
fatalities_lag2,0.0033502320582233683
fat_diff_3m_6m,0.0032259809970417255
fat_change_lag1_to_now,0.0028703176720039367
hdx_3m_sum,0.002522508997869288
disp_change_lag1_to_now,0.0025162464597921594
disp_change_lag2_to_now,0.0023539759893220226
fat_change_lag2_to_now,0.002217174209492296
acled_disp_events_ratio,0.0012452032439516916
hdx_medium_3m_sum,0.0010861124046125234
bat_civ,0.0008851708031828349
hdx_value,0.0008681224701210216
bat_gr90,0.0007650013481741108
mean_value_hdx,0.000726919836589149
hdx_high_3m_sum,0.0005759421586850874
risk_gt_025,0.0003489293944955193
logfat_risk_3_high_last_5m,0.00031113579126523946
acled_disp_events_count,0.0001969659274021998
bat_gr90_and_exp_gr150,0.00015401656823453512
hdx_med_high_count,0.0001520538523418351
hdx_alert_Medium concern,0.0001346550637842192
logfat_risk_12_high_last_5m,0.00011518685900047552
logfat_risk_3_gt_4,7.726575190026834e-05
bat_gr90_and_exp_gr150_last_5m,6.956344935134407e-05
exp_gr150,4.81617775593645e-05
logfat_risk_12_above_5,4.640516578427907e-05
hdx_alert_High concern,4.235752368597637e-05
