feature,importance
disp_6m_avg,0.1169464392122312
logfat_risk12_6m_avg,0.06421376416862742
logfat_risk3_lag1,0.06306535257703563
logfat_risk3_6m_avg,0.06225421828673081
logfat_risk3_lag2,0.05872165466463933
logfat_risk3_3m_avg,0.05029854642485267
logfat_risk_12,0.03578465829386033
logfat_risk_3,0.035221457032905745
logfat_risk12_3m_avg,0.033808690917226096
risk12_6m_avg,0.03175922833494882
disp_3m_avg,0.0278059558725944
logfat_risk12_lag2,0.025938253289843817
rolling_3m_displacements,0.02306458808915419
logfat_risk12_lag1,0.022394727358037384
fatalities,0.020762361306155587
risk12_3m_avg,0.01701838333087402
fatalities_lag1,0.01694140415033611
Battles,0.014444974208339189
fat_3m_avg,0.014190545201476277
risk12_lag1,0.013799135443832062
disp_diff_3m_6m,0.012758063317613456
risk3_lag1,0.010841083565695114
VU,0.010343647902765638
risk12_lag2,0.009011459195149979
INFORM,0.00898012489567122
risk3_3m_avg,0.00888335480059811
fatalities_lag2,0.008866045404446656
risk3_6m_avg,0.007984629951009363
Violence against civilians,0.007706887293772783
monthly_displacement,0.007493331197010511
fat_6m_avg,0.007488021904042039
risk12_change_2m,0.007103012190790791
risk3_change_2m,0.007052478122913314
HA,0.006616361852710168
CC,0.0065777500481867205
logfat_risk3_change_2m,0.00637297202423301
Riots,0.0063255759061004516
Explosions/Remote violence,0.006140826546989803
risk_12,0.005990315682718651
bat_civ,0.005407026871428724
acled_disp_score_max,0.0053734266306468955
Protests,0.005367884678103784
logfat_risk12_change_2m,0.005346131431711265
acled_disp_score_mean,0.005333990036392663
risk3_lag2,0.005318088816478579
disp_per_event,0.00523156384189485
Strategic developments,0.004987252835471524
monthly_displacement_lag1,0.00498623990773939
acled_semantic_intensity,0.004912245527162309
conflict_severity_index,0.004525266580451638
risk_3,0.004467697747432473
lethality_rate,0.00446335804190249
event_count,0.004226279769327367
disp_per_fatality,0.003590452502456519
fat_change_lag2_to_now,0.0034704787778850822
fat_diff_3m_6m,0.0033260381010243663
disp_change_lag2_to_now,0.0029297043830637626
monthly_displacement_lag2,0.002590232805392051
disp_change_lag1_to_now,0.0024902110272889753
fat_change_lag1_to_now,0.0023866414691187192
hdx_3m_sum,0.002033626111205869
acled_disp_events_ratio,0.0011406910558180966
hdx_value,0.0008332205397823499
hdx_high_3m_sum,0.0008312717990225045
mean_value_hdx,0.000691473893961419
logfat_risk_3_high_last_5m,0.0006235344782224402
hdx_medium_3m_sum,0.0005412977743996355
bat_gr90,0.00044339116914831456
risk_gt_025,0.00023615359325557955
acled_disp_events_count,0.00019287493811667657
hdx_med_high_count,0.00016039891697046618
exp_gr150,0.00014534193876930025
bat_gr90_and_exp_gr150_last_5m,9.994846197897946e-05
logfat_risk_3_gt_4,9.312105039249303e-05
logfat_risk_12_above_5,8.406048843231607e-05
logfat_risk_12_high_last_5m,8.263751634791455e-05
hdx_alert_Medium concern,5.508918185200941e-05
hdx_alert_High concern,8.938410593288093e-06
bat_gr90_and_exp_gr150,2.4369332379819713e-06
INFORM_high_last_5m,5.4268980696994506e-17
INFORM_above_06,0.0
