feature,importance
disp_6m_avg,0.12939690986526284
fatalities,0.08692402693314333
rolling_3m_displacements,0.08539194851443775
fat_6m_avg,0.07568127015680545
Battles,0.06664681205527476
disp_3m_avg,0.064965803073959
fat_3m_avg,0.05695022262036564
fatalities_lag1,0.04026551369330625
disp_diff_3m_6m,0.030218205962916505
Violence against civilians,0.029648903359238265
Explosions/Remote violence,0.025889808124805118
fatalities_lag2,0.02348426205902632
acled_semantic_intensity,0.022478221563119263
bat_civ,0.021724249866535674
Strategic developments,0.01767772225184084
p_sig2,0.017135823367944034
acled_disp_score_max,0.01683145724838556
Protests,0.014948146316439538
monthly_displacement,0.014889928015397076
acled_disp_score_mean,0.013382484334485347
protracted_signal,0.013077380699782084
event_count,0.012867521685242458
disp_per_event,0.012597337821859582
lethality_rate,0.012419648293431982
monthly_displacement_lag1,0.012267393333792608
conflict_severity_index,0.011999688524694227
fat_diff_3m_6m,0.01135493484212644
Riots,0.010940974267602651
disp_per_fatality,0.0093461686544025
monthly_displacement_lag2,0.008706027597903046
fat_change_lag2_to_now,0.007405144541571434
fat_change_lag1_to_now,0.007148890103990662
disp_change_lag2_to_now,0.005262830124972909
disp_change_lag1_to_now,0.004410860290146772
bat_gr90,0.0020742577146644807
acled_disp_events_ratio,0.001518771397877757
exp_gr150,0.0004663084864428395
acled_disp_events_count,0.0004388897275447045
bat_gr90_and_exp_gr150,0.0002743370261987121
bat_gr90_and_exp_gr150_last_5m,0.0002478357823119386
p_sig1,0.00019215048752091015
hard_onset_signal,0.00016559748520295954
h_sig2,0.00015767735525364153
p_sig3,0.0001223516610078635
h_sig1,5.302711766333692e-06
