feature,importance
fatalities,0.14862401465333747
Battles,0.14493140401567606
HA,0.1078225391404826
VU,0.10740690371857317
INFORM,0.08907717007999227
Violence against civilians,0.08146486364064387
monthly_displacement,0.0786931212780225
Strategic developments,0.0644173754964841
Explosions/Remote violence,0.06027202560217049
CC,0.03610557405226794
event_count,0.03174042995635206
Protests,0.029336877330092336
Riots,0.0201077010359051
INFORM_high_last_5m,1.2424742403441428e-17
INFORM_above_06,7.795016106171389e-18
