feature,importance
fatalities,0.15397510811346157
Battles,0.12852160897952972
HA,0.10888420486778687
INFORM,0.09774810367425046
VU,0.08758286027310766
monthly_displacement,0.06316804369951132
Explosions/Remote violence,0.06224125320744105
Strategic developments,0.060910006718264256
Violence against civilians,0.059258579955210555
p_sig2,0.040530152333717664
event_count,0.03968777416079134
CC,0.03229330056902293
Protests,0.02912455185884446
Riots,0.020469132368950108
protracted_signal,0.01138548631403339
hard_onset_signal,0.0014135306777692113
p_sig3,0.0011940772147175642
h_sig2,0.001188240382968178
p_sig1,0.00040061550452973206
h_sig1,1.980550658941604e-05
INFORM_high_last_5m,2.5193320607265743e-06
INFORM_above_06,1.044287441957079e-06
