feature,importance
logfat_risk3_3m_avg,0.14161264175620727
logfat_risk3_lag1,0.10986176502965196
logfat_risk_3,0.08762779908568416
logfat_risk3_6m_avg,0.07841565052730991
logfat_risk12_6m_avg,0.06239144012996241
logfat_risk12_3m_avg,0.060911633453620447
logfat_risk12_lag2,0.04536454358301821
risk12_lag2,0.044672918053155763
risk12_6m_avg,0.04414262053428316
fatalities,0.04145647577864604
risk12_lag1,0.032686572425262996
monthly_displacement,0.03106014534164322
risk_12,0.02765790241948724
Battles,0.02550586809282558
risk12_3m_avg,0.02185967733065489
Protests,0.021663934370962704
risk3_6m_avg,0.020956637680503428
risk_3,0.017587266357600335
Violence against civilians,0.016839684175119125
event_count,0.01569488256903737
Strategic developments,0.015557877903160615
risk3_lag2,0.01284406476809927
Riots,0.011955420091707926
Explosions/Remote violence,0.011672578542396018
