feature,importance
logfat_risk3_3m_avg,0.125387284530727
logfat_risk3_6m_avg,0.08892154387786867
logfat_risk12_6m_avg,0.08503848605147908
logfat_risk3_lag1,0.07016108869315776
logfat_risk12_3m_avg,0.06614108260544951
logfat_risk_3,0.053937620180103514
logfat_risk12_lag2,0.04843245804585033
fatalities,0.043024654980305506
risk12_lag1,0.04288768012187078
Battles,0.039247224254568586
risk12_lag2,0.03242324642684256
risk12_6m_avg,0.02997074858321293
risk12_3m_avg,0.0297918782907967
monthly_displacement,0.027560197134042865
VU,0.02557761135938008
risk_12,0.024650620384296874
INFORM,0.021029037512158445
Protests,0.015908054494881384
Explosions/Remote violence,0.015607910292755756
risk3_lag2,0.014513012274079135
Strategic developments,0.014302099842079839
HA,0.013970372111575733
risk3_6m_avg,0.01335520657172632
event_count,0.01276760524701903
risk_3,0.012327412136706269
CC,0.011604007115050975
Violence against civilians,0.011601806276464321
Riots,0.009860050605549956
INFORM_high_last_5m,6.719670257400249e-17
INFORM_above_06,5.779973841279969e-17
