feature,importance
logfat_risk3_3m_avg,0.1260074329369216
logfat_risk_3,0.09000158607490084
logfat_risk3_6m_avg,0.08691354946021843
logfat_risk3_lag1,0.07435012479482271
logfat_risk12_3m_avg,0.07154974381706145
logfat_risk12_6m_avg,0.06333374762450478
fatalities,0.04604689000957434
risk12_6m_avg,0.04468661973788348
logfat_risk12_lag2,0.04289749892112562
risk12_3m_avg,0.0329547974753956
risk12_lag1,0.030967515841251323
monthly_displacement,0.02637895841249758
risk12_lag2,0.024381457648455493
Battles,0.023061587658003875
risk_12,0.022884204204892147
VU,0.021416724394337852
INFORM,0.02067892495431048
risk3_lag2,0.01772037127451783
Protests,0.015037706169311377
Strategic developments,0.013981988862954722
CC,0.0131040949676547
event_count,0.011758889327643919
HA,0.011454467386987098
Violence against civilians,0.01099389740465415
risk3_6m_avg,0.010147807128763751
Explosions/Remote violence,0.010026062441121824
risk_3,0.009968046576140303
Riots,0.00985138498098798
p_sig2,0.00818100990410578
protracted_signal,0.008026868874862656
hard_onset_signal,0.00039438305196571997
h_sig2,0.0003142168458427468
p_sig3,0.00027138817708023753
p_sig1,0.0002539803710587004
h_sig1,2.072288188460042e-06
INFORM_above_06,1.3677437571703436e-16
INFORM_high_last_5m,5.983873460569294e-17
