feature,importance
logfat_risk3_3m_avg,0.12136710469704101
logfat_risk3_lag1,0.11804269927758385
logfat_risk3_6m_avg,0.0903167589142321
logfat_risk12_6m_avg,0.08173996189921728
logfat_risk12_3m_avg,0.0579555272953608
logfat_risk_3,0.057379863509626435
logfat_risk12_lag2,0.04901381834003449
fatalities,0.04863078612915561
risk12_6m_avg,0.047917365572069145
Battles,0.04118863320053981
risk12_lag2,0.033071939702124735
monthly_displacement,0.03267191641317945
risk12_3m_avg,0.027140547842112492
risk_12,0.023303184365673746
risk12_lag1,0.019245543694606022
Protests,0.018160758088435112
risk3_6m_avg,0.01754171495733556
risk3_lag2,0.015577448837442356
risk_3,0.01532916553953704
Strategic developments,0.014659948318770245
event_count,0.01446522640604595
Violence against civilians,0.014292611712224946
p_sig2,0.01019845133856244
Riots,0.01003220934544277
Explosions/Remote violence,0.009522296201173262
protracted_signal,0.0094520305418281
h_sig2,0.00062652671367307
p_sig3,0.000478543747919906
hard_onset_signal,0.00041164028230343503
p_sig1,0.00026027450611669923
h_sig1,5.502610632309383e-06
