feature,importance
logfat_risk3_3m_avg,0.0999289273236013
logfat_risk3_lag2,0.0931041150901837
logfat_risk3_6m_avg,0.06785890187097386
logfat_risk_3,0.06160539238290721
logfat_risk12_3m_avg,0.054136641459425275
logfat_risk_12,0.051183703069062315
logfat_risk12_6m_avg,0.04406739096220953
risk12_lag2,0.040689361344262355
logfat_risk12_lag2,0.0395512244101767
logfat_risk3_lag1,0.03682798822798021
risk12_lag1,0.03635252581508155
logfat_risk12_lag1,0.03121896865918962
fatalities,0.028661356455286974
Battles,0.025840566904968422
monthly_displacement,0.02510934583926431
risk12_6m_avg,0.024321962297546396
risk12_3m_avg,0.023014187865179444
Protests,0.018808208698209407
risk_12,0.016895355947133657
Strategic developments,0.013818265263174569
risk3_3m_avg,0.013611472571839036
risk3_6m_avg,0.013551070005183373
Explosions/Remote violence,0.013438854821251291
risk3_lag1,0.013131716560842673
risk3_lag2,0.01311213952443023
Violence against civilians,0.011357368721179852
event_count,0.01108710048410862
Riots,0.011070574727446736
risk3_change_2m,0.01019157276320664
risk12_change_2m,0.009851318035055224
logfat_risk12_change_2m,0.00901799076958536
risk_3,0.008929343281686444
logfat_risk3_change_2m,0.008777158607174597
hdx_3m_sum,0.00402185322986787
logfat_risk_12_high_last_5m,0.003428402181311052
risk_gt_025,0.0033883417655168713
hdx_high_3m_sum,0.00205594465999377
logfat_risk_3_gt_4,0.0016551732045614943
hdx_value,0.0014628181968137448
mean_value_hdx,0.0014477868093424728
hdx_medium_3m_sum,0.001383931900649425
hdx_med_high_count,0.00048456575097580715
hdx_alert_Medium concern,0.00023261349829157259
logfat_risk_12_above_5,0.00016229826497640918
hdx_alert_High concern,8.524075514267145e-05
logfat_risk_3_high_last_5m,6.895902375005946e-05
