feature,importance
logfat_risk3_3m_avg,0.1233143070574836
logfat_risk3_lag2,0.09317698790137018
logfat_risk3_lag1,0.07350147474927798
logfat_risk3_6m_avg,0.06752652291330176
logfat_risk12_6m_avg,0.05858960323422855
logfat_risk_3,0.050545695012539006
logfat_risk_12,0.04997154141177194
logfat_risk12_3m_avg,0.04402593356211194
logfat_risk12_lag2,0.030938990037704835
fatalities,0.029912047628552756
Battles,0.02928622606331604
risk12_lag2,0.029085897854875364
monthly_displacement,0.0264859296252563
logfat_risk12_lag1,0.024224511695272306
VU,0.0190978883872629
INFORM,0.01783820582265255
risk12_6m_avg,0.017619516196938086
risk_12,0.016694911793471483
risk12_lag1,0.01642028392893419
Protests,0.014497037178012519
risk12_3m_avg,0.013944652805978605
Strategic developments,0.011036381024150664
Explosions/Remote violence,0.010984666669690866
CC,0.010415098344960296
Violence against civilians,0.010256523163577731
risk3_3m_avg,0.010136064094237571
risk3_lag2,0.010112953484592228
Riots,0.009927445850545825
risk12_change_2m,0.009395934871761718
event_count,0.00933653781928629
logfat_risk3_change_2m,0.008658427946034677
risk_3,0.008166531064709846
risk3_change_2m,0.008059349130947337
logfat_risk12_change_2m,0.00792557026403549
risk3_6m_avg,0.007819396539620225
HA,0.007397318371322285
risk3_lag1,0.006278908213725334
hdx_3m_sum,0.0017151559344877998
hdx_value,0.001345755168302027
mean_value_hdx,0.0012583804878123714
hdx_high_3m_sum,0.0011598290865241063
hdx_medium_3m_sum,0.0008687629074413578
risk_gt_025,0.00027679723729675886
hdx_med_high_count,0.00018665906592435058
logfat_risk_12_above_5,0.00014025776483235963
hdx_alert_Medium concern,0.0001323328064752216
logfat_risk_3_high_last_5m,0.00011270976158266948
hdx_alert_High concern,8.149810779468657e-05
logfat_risk_12_high_last_5m,8.028262743954748e-05
logfat_risk_3_gt_4,3.63073305752626e-05
INFORM_high_last_5m,3.8765438317273914e-17
INFORM_above_06,4.507894441831808e-18
