feature,importance
logfat_risk3_lag2,0.08288677729199197
logfat_risk3_lag1,0.08111998843263622
logfat_risk3_3m_avg,0.07710012562052028
logfat_risk12_6m_avg,0.05976292050639112
logfat_risk_3,0.056011351858164575
logfat_risk3_6m_avg,0.05334091824413195
logfat_risk_12,0.046045983433801195
logfat_risk12_lag2,0.03808690518872622
risk12_lag1,0.037472774503536276
logfat_risk12_3m_avg,0.03646108818440106
logfat_risk12_lag1,0.030867710836352508
fatalities,0.03014225389090113
risk12_6m_avg,0.026178722121424622
Battles,0.026035977290699577
VU,0.023499962829164875
risk_12,0.021222067497100046
monthly_displacement,0.021042698509735374
INFORM,0.020388538094013756
risk12_lag2,0.01842783050164847
risk3_3m_avg,0.017392034892632052
Strategic developments,0.013357120955547652
risk3_lag1,0.013053748663644706
risk3_6m_avg,0.012891400946880335
HA,0.012654639182637407
Protests,0.01200142196058518
risk12_3m_avg,0.011953627768368495
risk_3,0.010278723255631323
Violence against civilians,0.009887513890039341
CC,0.009807102457256833
risk3_lag2,0.009536518775091188
logfat_risk12_change_2m,0.009019893181645226
risk12_change_2m,0.00890622681982911
event_count,0.008877629496976491
logfat_risk3_change_2m,0.008251959520028818
Explosions/Remote violence,0.00789758189592203
Riots,0.007713658833265251
risk3_change_2m,0.00741470491316237
p_sig2,0.006254461609025316
protracted_signal,0.006151022643396008
hdx_3m_sum,0.002085352893957997
hdx_high_3m_sum,0.0019201121410914823
hdx_value,0.0013529135219672174
mean_value_hdx,0.0013437243553130922
hdx_medium_3m_sum,0.0013253074262590326
hdx_med_high_count,0.0004991881056590294
risk_gt_025,0.00031696452816137936
logfat_risk_3_high_last_5m,0.000312409806444156
h_sig2,0.0002817529753300791
logfat_risk_3_gt_4,0.00021695445750911468
p_sig1,0.00017186540038565006
logfat_risk_12_high_last_5m,0.0001571758958151338
hdx_alert_Medium concern,0.00015568160308592827
p_sig3,0.00015517595510349354
hard_onset_signal,0.0001407885701158541
hdx_alert_High concern,8.897063367233365e-05
logfat_risk_12_above_5,7.781251396356894e-05
h_sig1,2.2627192590321216e-06
INFORM_above_06,4.8832503553905624e-17
INFORM_high_last_5m,2.872124470050366e-17
