feature,importance
logfat_risk3_3m_avg,0.1047817369231825
logfat_risk3_lag1,0.07535914239373986
logfat_risk3_6m_avg,0.07233119905140094
logfat_risk_12,0.0556010290364027
logfat_risk12_lag2,0.05546336173663056
logfat_risk12_3m_avg,0.052479602222045486
logfat_risk_3,0.050241355062367044
logfat_risk12_lag1,0.04720202495450777
logfat_risk3_lag2,0.04174673177091496
fatalities,0.03975260093318692
risk12_lag2,0.036722623908062475
logfat_risk12_6m_avg,0.03604141470606643
risk12_lag1,0.03495864604475261
risk12_6m_avg,0.031732185782957535
monthly_displacement,0.02522947220648877
risk12_3m_avg,0.024635005286791332
Battles,0.01632361600320661
Violence against civilians,0.014556927789052031
risk_3,0.01326626439377309
Protests,0.013041897578490098
risk3_3m_avg,0.013029521938145043
Strategic developments,0.012677694019547658
risk12_change_2m,0.011608712173675305
risk_12,0.011364965619916746
event_count,0.01074388070913188
risk3_lag2,0.01037307530302473
protracted_signal,0.010289490177452199
Riots,0.010090118262684106
logfat_risk12_change_2m,0.009720803286900032
risk3_change_2m,0.009060511847731273
risk3_6m_avg,0.008209698662401798
risk3_lag1,0.0076154737269306435
logfat_risk3_change_2m,0.00749753826505935
p_sig2,0.00731733439028566
Explosions/Remote violence,0.006276105133986526
hdx_3m_sum,0.0027947472701920864
hdx_high_3m_sum,0.0018332797999307117
hdx_value,0.0014717582119453865
mean_value_hdx,0.0013765217284440994
hdx_medium_3m_sum,0.0012836209615869662
hdx_alert_Medium concern,0.0005522570857148142
hdx_med_high_count,0.0005210302457828374
risk_gt_025,0.0004229046995997549
logfat_risk_3_high_last_5m,0.0004188136753213071
h_sig2,0.00036064206219255427
hard_onset_signal,0.00030628576969056015
logfat_risk_12_high_last_5m,0.00028545046501208084
p_sig3,0.0002776719265011178
p_sig1,0.0002533322817544802
logfat_risk_12_above_5,0.00019717587276434027
hdx_alert_High concern,0.00018119839969383248
logfat_risk_3_gt_4,0.00011865791477679675
h_sig1,2.8903282036647417e-06
