feature,importance
fatalities,0.1971531794571399
Battles,0.1869202810474865
Violence against civilians,0.11631529403116142
monthly_displacement,0.10156184782313654
Strategic developments,0.10108724267088896
Explosions/Remote violence,0.08888081624737786
event_count,0.048345657777890315
Protests,0.046324743264543236
p_sig2,0.04506299438814042
Riots,0.03024110535534371
protracted_signal,0.029501581712248464
hard_onset_signal,0.003467367205871766
h_sig2,0.0028223527415645253
p_sig3,0.0016589557955746215
p_sig1,0.000635864928849282
h_sig1,2.071555278241691e-05
