feature,importance
disp_6m_avg,0.23197516380031694
fat_6m_avg,0.10040812001730727
fat_3m_avg,0.10032150587308754
fatalities_lag1,0.09278366400978462
rolling_3m_displacements,0.09126142092870049
disp_3m_avg,0.08420903997114457
fatalities_lag2,0.06375577876239298
lethality_rate,0.04989747814800639
acled_semantic_intensity,0.037886880180059763
conflict_severity_index,0.03493694881928144
acled_disp_score_max,0.032315936535143766
acled_disp_score_mean,0.028065755484997987
disp_per_fatality,0.022329879494153316
disp_per_event,0.018628502135604786
disp_change_lag2_to_now,0.011223925840017945
