feature,importance
disp_6m_avg,0.20777019750638293
fat_6m_avg,0.11790875617586816
rolling_3m_displacements,0.09525834007721881
disp_3m_avg,0.08720543145533835
fat_3m_avg,0.07328595622067743
fatalities_lag1,0.0609054493419444
HA,0.049659175866586545
INFORM,0.0444649264387191
VU,0.04273238766217677
fatalities_lag2,0.037670720736275455
lethality_rate,0.03524619024663696
conflict_severity_index,0.02430938371940344
acled_semantic_intensity,0.023800300359038625
acled_disp_score_mean,0.022184656907102737
CC,0.021535014366739203
acled_disp_score_max,0.01797765961849938
disp_per_fatality,0.01796350705290909
disp_per_event,0.012613460572189213
disp_change_lag2_to_now,0.007508464439536764
INFORM_above_06,2.1236756554117723e-08
INFORM_high_last_5m,6.726590259934996e-17
