feature,importance
disp_6m_avg,0.18521293106482145
disp_3m_avg,0.09078322849761854
fat_3m_avg,0.0879897738695043
fat_6m_avg,0.08774477440667365
rolling_3m_displacements,0.07337052954079479
HA,0.06545813929121058
fatalities_lag1,0.05797936072538984
INFORM,0.05241064894111666
VU,0.047271718639294906
fatalities_lag2,0.04602000841596996
lethality_rate,0.026094836853148076
CC,0.02242030439392146
conflict_severity_index,0.02225921242198936
p_sig2,0.020184481339713966
acled_semantic_intensity,0.019811336304006805
acled_disp_score_max,0.019582223788829834
acled_disp_score_mean,0.018804306007345378
disp_per_fatality,0.017537870694257364
disp_per_event,0.013734726981599847
protracted_signal,0.013248800626348612
disp_change_lag2_to_now,0.010773678740746662
p_sig3,0.00038112266530226284
hard_onset_signal,0.00035489105756099143
h_sig2,0.00029550756436501216
p_sig1,0.00026562760234510684
h_sig1,9.095480975154554e-06
INFORM_high_last_5m,7.219259759953537e-07
INFORM_above_06,1.4215917353308494e-07
