feature,importance
disp_6m_avg,0.19641396931450716
logfat_risk3_3m_avg,0.09406180254613515
logfat_risk3_6m_avg,0.08013673298981584
logfat_risk3_lag1,0.07915154257650506
logfat_risk12_3m_avg,0.0698143690465254
logfat_risk_3,0.06424768337725359
logfat_risk12_lag2,0.04673103531819887
rolling_3m_displacements,0.03573983400468363
logfat_risk12_6m_avg,0.03500873398769173
risk12_6m_avg,0.03402070627549276
risk12_lag1,0.028299251532078434
fat_6m_avg,0.022784411759916714
disp_3m_avg,0.02236647850391531
risk12_lag2,0.022338369807362295
risk12_3m_avg,0.020954962718349627
acled_semantic_intensity,0.013311413753442027
fat_3m_avg,0.013176553144480234
risk3_6m_avg,0.012603384671184928
risk_12,0.012477530459458068
risk_3,0.010693369906779184
acled_disp_score_max,0.010583340636733569
risk3_lag2,0.010575321546476477
conflict_severity_index,0.010298929819211117
acled_disp_score_mean,0.009685869142394197
fatalities_lag1,0.009023613255096184
lethality_rate,0.008716120333265886
disp_per_fatality,0.008480745831170918
disp_per_event,0.007087105020437708
fatalities_lag2,0.005695306801091954
disp_change_lag2_to_now,0.005521511920346034
