feature,importance
disp_6m_avg,0.16769149000874156
logfat_risk3_3m_avg,0.10129560725435433
logfat_risk3_lag1,0.07669409457756371
logfat_risk12_6m_avg,0.07504338940525979
logfat_risk3_6m_avg,0.07065686237169697
logfat_risk_3,0.06001058628844112
logfat_risk12_3m_avg,0.044610952439046926
logfat_risk12_lag2,0.037984473789183876
risk12_6m_avg,0.032240844377907064
rolling_3m_displacements,0.029761061942875852
disp_3m_avg,0.02792362644354319
risk12_lag1,0.026721540299385102
fat_3m_avg,0.017170761217018094
VU,0.01684270495855233
risk12_lag2,0.01672877483771912
fatalities_lag1,0.016082437262405738
HA,0.0151104343062084
fat_6m_avg,0.01418485664978347
risk3_lag2,0.013564451889650069
risk_12,0.012998071176325853
risk12_3m_avg,0.012466229909187524
INFORM,0.012155870000891337
risk3_6m_avg,0.010981892142322371
acled_disp_score_mean,0.010746042086528903
CC,0.01018508440288177
conflict_severity_index,0.009807720900946277
acled_disp_score_max,0.009271862116598214
lethality_rate,0.008753559924324354
risk_3,0.008667127143216513
disp_per_fatality,0.0082261175083227
acled_semantic_intensity,0.007833849474029762
fatalities_lag2,0.007031976202351754
disp_per_event,0.0064659390299773006
disp_change_lag2_to_now,0.004089707662758732
INFORM_high_last_5m,3.029736558924585e-17
INFORM_above_06,8.211508774198673e-19
