feature,importance
disp_6m_avg,0.13013660428865814
logfat_risk_3,0.08084904144363768
logfat_risk3_3m_avg,0.07962531487736381
logfat_risk3_lag1,0.07353982017627513
logfat_risk3_6m_avg,0.0593076076450928
logfat_risk12_3m_avg,0.0555141619656163
logfat_risk12_6m_avg,0.04199154565805781
logfat_risk12_lag2,0.03707589392932301
risk12_lag1,0.034531166129774624
fat_6m_avg,0.033331081727105735
rolling_3m_displacements,0.032140823827615676
risk_12,0.03146627106211432
disp_3m_avg,0.03028471744591762
risk12_6m_avg,0.026806550044222967
fatalities_lag1,0.022230139374112053
risk12_lag2,0.021355554676330737
fat_3m_avg,0.021293717830609894
risk12_3m_avg,0.01934510149355747
risk3_6m_avg,0.01631951554954893
INFORM,0.016048147370045878
VU,0.01437551031936116
CC,0.010463988075779761
risk_3,0.010445467724173908
conflict_severity_index,0.010147907910136339
acled_semantic_intensity,0.009653254942416445
HA,0.009458513846428592
risk3_lag2,0.009019561763768249
acled_disp_score_max,0.008859805097126737
acled_disp_score_mean,0.008803180397988886
fatalities_lag2,0.008348557682167638
lethality_rate,0.008099495928946928
disp_per_event,0.007829813296402702
disp_per_fatality,0.006397541404530828
protracted_signal,0.005543834685876339
disp_change_lag2_to_now,0.004916920561129571
p_sig2,0.0036724197368407413
p_sig1,0.0002689425850442312
hard_onset_signal,0.00021522190036322205
h_sig2,0.0002006740902451548
p_sig3,7.763046920457381e-05
h_sig1,8.98106708734379e-06
INFORM_above_06,6.03917599141775e-17
INFORM_high_last_5m,4.84598375683925e-17
