feature,importance
disp_6m_avg,0.16309199933936505
logfat_risk3_3m_avg,0.09785543167273036
logfat_risk_3,0.08364545057711496
logfat_risk3_lag1,0.07728196205435048
logfat_risk12_6m_avg,0.05765930801898489
logfat_risk3_6m_avg,0.0534418980341864
logfat_risk12_3m_avg,0.045009865428516836
logfat_risk12_lag2,0.03365572862992864
disp_3m_avg,0.033422911111969704
rolling_3m_displacements,0.03252172918982831
risk12_6m_avg,0.03240870202680588
risk12_lag1,0.030855030532971985
risk12_lag2,0.029108833656811148
fat_6m_avg,0.024687122227455092
risk_12,0.018945000307160086
fatalities_lag1,0.017375990393646856
fat_3m_avg,0.017023733282080945
risk12_3m_avg,0.01587118678899684
risk3_6m_avg,0.01586364486466494
risk3_lag2,0.014709436394609794
fatalities_lag2,0.01166059708998618
lethality_rate,0.011286918787008805
conflict_severity_index,0.011067856211166545
acled_semantic_intensity,0.010767057957609126
risk_3,0.010560892160274116
acled_disp_score_mean,0.010184379234236953
acled_disp_score_max,0.010084309762004941
disp_per_event,0.007510545476386173
disp_per_fatality,0.006352590089804311
disp_change_lag2_to_now,0.005535234080156132
p_sig2,0.005410846560302207
protracted_signal,0.0044529980034043164
p_sig1,0.0002578225818516926
h_sig2,0.0001716769060757404
hard_onset_signal,0.00016573174131434613
p_sig3,9.414768943818634e-05
h_sig1,1.4311368009943456e-06
