feature,importance
disp_6m_avg,0.13129439345223343
logfat_risk3_3m_avg,0.08349951078170585
logfat_risk3_lag1,0.08102356292659861
logfat_risk3_lag2,0.07490172002629471
logfat_risk_3,0.05885553607722264
logfat_risk3_6m_avg,0.05156869068668741
logfat_risk12_6m_avg,0.050320408991361185
logfat_risk12_3m_avg,0.045272763157514155
logfat_risk_12,0.038256487431841735
logfat_risk12_lag2,0.02788101830007622
rolling_3m_displacements,0.02739742915560391
disp_3m_avg,0.027309218503557067
risk12_6m_avg,0.025921451413639263
logfat_risk12_lag1,0.021537603095097713
fat_3m_avg,0.017357909512988292
risk12_3m_avg,0.016481075534587154
risk12_lag2,0.01611789508850225
fat_6m_avg,0.013786532509341094
fatalities_lag1,0.012210744473917599
risk12_lag1,0.012168510849224467
risk12_change_2m,0.010778687263033085
risk_12,0.010751325470665913
risk_3,0.010611217460124578
acled_semantic_intensity,0.009635972919322906
risk3_3m_avg,0.009515332481475893
logfat_risk3_change_2m,0.009253075513132897
risk3_lag2,0.008976567336421434
conflict_severity_index,0.008802263298671762
risk3_change_2m,0.008602543374086382
risk3_6m_avg,0.008383899864246008
acled_disp_score_max,0.007803739198956824
risk3_lag1,0.007608804744971948
fatalities_lag2,0.007501770288545327
lethality_rate,0.007445265843109917
acled_disp_score_mean,0.007372830626677628
logfat_risk12_change_2m,0.006977728999772098
disp_per_event,0.006490623644063018
disp_per_fatality,0.006163684016093984
disp_change_lag2_to_now,0.0046920425978089824
hdx_3m_sum,0.0017806360390476878
hdx_value,0.0015571039218471737
logfat_risk_3_high_last_5m,0.0015026266354825981
hdx_high_3m_sum,0.0011053740065148012
hdx_medium_3m_sum,0.0010811477692129537
mean_value_hdx,0.0010219857127261526
hdx_med_high_count,0.00031675592500153376
logfat_risk_3_gt_4,0.00030158554994678954
hdx_alert_Medium concern,0.00021489907057439082
logfat_risk_12_high_last_5m,0.0002027015489704856
risk_gt_025,0.00014872799262887764
logfat_risk_12_above_5,0.00014192931457491844
hdx_alert_High concern,9.468960429649558e-05
