feature,importance
logfat_risk3_3m_avg,0.11675192243135385
disp_6m_avg,0.08306982867260736
logfat_risk3_lag1,0.07729607194216005
logfat_risk_3,0.06543171304548963
logfat_risk3_lag2,0.058122462019551895
logfat_risk3_6m_avg,0.05166812582958076
logfat_risk12_6m_avg,0.045583480874692946
disp_3m_avg,0.04264043426516188
logfat_risk12_3m_avg,0.03820216596452254
logfat_risk_12,0.030707459656732966
logfat_risk12_lag1,0.026895276161085176
risk12_6m_avg,0.026724551466077287
fat_3m_avg,0.02537930740933402
rolling_3m_displacements,0.02413560741890617
logfat_risk12_lag2,0.021960896559019928
risk12_3m_avg,0.015959931753600613
fat_6m_avg,0.015817078885819166
risk12_lag2,0.015606084253404923
VU,0.014389538216219952
risk12_lag1,0.013363936260231973
fatalities_lag1,0.012748419298998788
INFORM,0.010677929482922116
risk3_6m_avg,0.010610532417709371
lethality_rate,0.00967805435313362
logfat_risk12_change_2m,0.008745778695580596
risk3_3m_avg,0.00867828364250831
disp_per_event,0.00840957658655049
logfat_risk3_change_2m,0.008133015225462937
acled_semantic_intensity,0.008094556695513113
risk_12,0.008043229683029165
risk3_lag2,0.007997535920515768
CC,0.007836616143336347
risk12_change_2m,0.007808100434362126
risk3_change_2m,0.007686767648476128
fatalities_lag2,0.007659068188021949
risk3_lag1,0.007482144802170902
acled_disp_score_mean,0.0072874144970408485
conflict_severity_index,0.007181687877721162
HA,0.006656897443562999
acled_disp_score_max,0.006014642267292021
risk_3,0.005644952279339282
disp_per_fatality,0.005591804637510391
disp_change_lag2_to_now,0.004356790185895318
hdx_3m_sum,0.002031397997961397
mean_value_hdx,0.0011230259620526816
hdx_value,0.0009132537840202224
hdx_high_3m_sum,0.0009028586358342597
hdx_medium_3m_sum,0.0007243896107563423
risk_gt_025,0.0005344336733204232
logfat_risk_3_high_last_5m,0.00028599385887898894
hdx_alert_Medium concern,0.00022709888251692264
logfat_risk_3_gt_4,0.00015561641818116417
logfat_risk_12_above_5,0.00013096904536922667
hdx_med_high_count,0.00012148543198090903
logfat_risk_12_high_last_5m,6.623469252161974e-05
hdx_alert_High concern,5.3570514398795786e-05
INFORM_high_last_5m,1.4496202381363095e-16
INFORM_above_06,7.81562200491652e-17
