feature,importance
disp_6m_avg,0.12661532065746608
logfat_risk3_3m_avg,0.08835525625917921
logfat_risk3_lag1,0.06412357811087203
logfat_risk3_lag2,0.06371769900329802
logfat_risk3_6m_avg,0.04939316182475248
logfat_risk12_6m_avg,0.046405068036403485
logfat_risk12_3m_avg,0.045417787617914894
logfat_risk_3,0.04138257751244003
logfat_risk_12,0.03692095614010342
logfat_risk12_lag1,0.03214461447758718
rolling_3m_displacements,0.031619998554572974
risk12_6m_avg,0.03161335886280521
logfat_risk12_lag2,0.027822327127013876
disp_3m_avg,0.02413763896004384
risk12_lag2,0.016092207330828997
fat_3m_avg,0.0160321694678056
risk3_6m_avg,0.015051995578534713
risk_12,0.012796499562487513
VU,0.012582568485707813
risk_3,0.012362429290525471
fat_6m_avg,0.012336240053652057
INFORM,0.012117123274417985
risk3_lag2,0.01199214255642496
risk3_3m_avg,0.011708155383542472
risk12_3m_avg,0.010615420402942742
disp_per_event,0.010484056353414983
risk12_lag1,0.010139980145210357
acled_semantic_intensity,0.010113707032090967
logfat_risk3_change_2m,0.008941701774364206
risk12_change_2m,0.007612556975356369
risk3_change_2m,0.007471849737740626
CC,0.007438130266719597
acled_disp_score_max,0.007272912332148833
conflict_severity_index,0.007205175565590908
fatalities_lag2,0.006878000058241311
logfat_risk12_change_2m,0.006851485360988536
lethality_rate,0.00669787094163404
fatalities_lag1,0.006659438559015081
acled_disp_score_mean,0.006416597950915355
HA,0.005741140987101958
risk3_lag1,0.00552931447158704
protracted_signal,0.005275294636421787
disp_per_fatality,0.005256863661847433
disp_change_lag2_to_now,0.003524950479732217
p_sig2,0.002824165666529575
hdx_3m_sum,0.0020473843506288105
mean_value_hdx,0.0013442668868422186
hdx_high_3m_sum,0.0010647322595463454
hdx_value,0.000958150346389461
logfat_risk_3_high_last_5m,0.0007063775164960171
hdx_medium_3m_sum,0.000595727814927538
logfat_risk_3_gt_4,0.0002273515608140443
hdx_alert_Medium concern,0.00022126394952565423
risk_gt_025,0.00020649984996357244
logfat_risk_12_high_last_5m,0.0002028116319143595
hdx_med_high_count,0.00016030143958646018
p_sig1,0.0001542150710364949
hard_onset_signal,0.00013760233865175493
h_sig2,0.00012188857820081784
logfat_risk_12_above_5,8.063860597498152e-05
p_sig3,4.3828811302531085e-05
hdx_alert_High concern,3.418278635132255e-05
h_sig1,1.2887138733175407e-06
INFORM_above_06,4.9330170424952786e-17
INFORM_high_last_5m,1.8106823476846563e-17
