feature,importance
disp_6m_avg,0.1307538193390024
logfat_risk3_3m_avg,0.08129365706620176
logfat_risk3_6m_avg,0.057998606339593646
logfat_risk3_lag1,0.0570384598100172
logfat_risk3_lag2,0.056524439056650236
logfat_risk12_6m_avg,0.04988883621519407
logfat_risk_3,0.04984601804512769
logfat_risk_12,0.03592708910323739
logfat_risk12_3m_avg,0.03578319128684193
risk12_lag2,0.03281583859503739
rolling_3m_displacements,0.03158512038422603
logfat_risk12_lag1,0.03098973325038262
risk12_3m_avg,0.028463216058175193
disp_3m_avg,0.027701957643416212
fat_6m_avg,0.023392618369121577
risk12_6m_avg,0.02240456594403533
fat_3m_avg,0.021529758920630648
risk_12,0.016293000734798266
risk12_lag1,0.01454698234924032
risk_3,0.013531330084022153
risk3_6m_avg,0.013169909042721788
logfat_risk12_lag2,0.01253414953525638
risk3_lag1,0.010558011594563724
risk3_3m_avg,0.010027834528332273
risk12_change_2m,0.009632722872423442
conflict_severity_index,0.009572407481303304
fatalities_lag1,0.009254217365557274
logfat_risk12_change_2m,0.009121315236277487
acled_semantic_intensity,0.008494649789419354
lethality_rate,0.008386249558125784
logfat_risk3_change_2m,0.008286177137219951
acled_disp_score_mean,0.007736570641326145
acled_disp_score_max,0.007323086062699004
risk3_change_2m,0.007012384959816099
risk3_lag2,0.006926413279287305
disp_per_event,0.006604630126900087
fatalities_lag2,0.006360126573493358
protracted_signal,0.005840693346735832
disp_per_fatality,0.0053983021627772385
disp_change_lag2_to_now,0.005059102853522183
p_sig2,0.004649113898038877
hdx_3m_sum,0.0019179338889582195
hdx_high_3m_sum,0.001366917894724618
hdx_value,0.0013499752576180521
hdx_medium_3m_sum,0.0010539854044287213
logfat_risk_3_high_last_5m,0.000758849665024787
risk_gt_025,0.0007235459093322286
mean_value_hdx,0.0007054298934249695
logfat_risk_12_high_last_5m,0.0004168758982410052
logfat_risk_3_gt_4,0.00038417453711335226
hdx_alert_Medium concern,0.0002656336961632958
hard_onset_signal,0.00019321301251366008
p_sig1,0.00017588995545178798
hdx_med_high_count,0.0001424171765206602
h_sig2,8.85344509382399e-05
logfat_risk_12_above_5,8.472545976291688e-05
hdx_alert_High concern,7.185987042320986e-05
p_sig3,4.373138861127562e-05
h_sig1,6.887660369580554e-17
