feature,importance
disp_6m_avg,0.19013233819315753
disp_3m_avg,0.10908870471613537
fat_6m_avg,0.09585188098189885
rolling_3m_displacements,0.09415774964193925
fat_3m_avg,0.0886612312936022
fatalities_lag1,0.07122459476661173
fatalities_lag2,0.06555253290341817
lethality_rate,0.04289260847695769
acled_semantic_intensity,0.03586439513969486
conflict_severity_index,0.035224234282768156
p_sig2,0.03334077632363199
acled_disp_score_max,0.03166523222349642
acled_disp_score_mean,0.025852136221025078
protracted_signal,0.024656786272781422
disp_per_fatality,0.024145576697844874
disp_per_event,0.019231771093074678
disp_change_lag2_to_now,0.011002996325440478
hard_onset_signal,0.0004296580978469243
h_sig2,0.00036391279382867015
p_sig1,0.00035108531418412956
p_sig3,0.00029141170272701996
h_sig1,1.8386537934511314e-05
