feature,importance
disp_6m_avg,0.1591376626470964
fat_3m_avg,0.10090188928671465
fat_6m_avg,0.09317454041993109
fatalities_lag1,0.07668056523063527
disp_3m_avg,0.07595762450757094
rolling_3m_displacements,0.06272568228288496
fatalities_lag2,0.045887903961302136
lethality_rate,0.04108343908827434
disp_diff_3m_6m,0.03722731665851161
bat_civ,0.03600676433043639
acled_semantic_intensity,0.03013800648112144
conflict_severity_index,0.02918623227680594
monthly_displacement_lag2,0.027007740584972975
acled_disp_score_max,0.024906123416005604
monthly_displacement_lag1,0.024902775298448226
acled_disp_score_mean,0.022205947632172287
disp_per_fatality,0.01952609933671497
fat_diff_3m_6m,0.019122347777594775
disp_per_event,0.01846001097785534
fat_change_lag2_to_now,0.014784373409808782
fat_change_lag1_to_now,0.0135580723933512
disp_change_lag1_to_now,0.01100437003997522
disp_change_lag2_to_now,0.0069842597330627785
bat_gr90,0.0037407705655157627
acled_disp_events_ratio,0.002502254177372778
bat_gr90_and_exp_gr150,0.000982583753681633
exp_gr150,0.0009570034478390819
bat_gr90_and_exp_gr150_last_5m,0.000689438161547515
acled_disp_events_count,0.0005582021227957803
