feature,importance
disp_6m_avg,0.15146949365603293
fat_6m_avg,0.09893150276307541
disp_3m_avg,0.08643388570637969
rolling_3m_displacements,0.08287154379891308
HA,0.06306743855580452
fat_3m_avg,0.05645794993223112
VU,0.054770888198377825
INFORM,0.04153114916474838
bat_civ,0.038558988244473506
fatalities_lag1,0.034940547816271636
fatalities_lag2,0.0341544076838386
disp_diff_3m_6m,0.02799738463234197
acled_semantic_intensity,0.021845005870739353
conflict_severity_index,0.021287285173647193
acled_disp_score_max,0.020537715499020406
disp_per_fatality,0.01964690593078019
lethality_rate,0.019594358006298912
monthly_displacement_lag2,0.018343044930904932
CC,0.0174218607688776
acled_disp_score_mean,0.014046026638522183
fat_change_lag2_to_now,0.012506962160332365
disp_per_event,0.012063120171359826
fat_diff_3m_6m,0.010821225421390253
monthly_displacement_lag1,0.00958150411664524
fat_change_lag1_to_now,0.00864655787036029
disp_change_lag2_to_now,0.008458889093709142
disp_change_lag1_to_now,0.006554611206304112
exp_gr150,0.0023659851596818807
bat_gr90,0.0021578088292331854
acled_disp_events_ratio,0.0014651919609229614
bat_gr90_and_exp_gr150,0.0006659508811845641
bat_gr90_and_exp_gr150_last_5m,0.0004468582420400566
acled_disp_events_count,0.00035675186623776466
INFORM_high_last_5m,1.1046550013247354e-06
INFORM_above_06,9.539431751767395e-08
