feature,importance
disp_6m_avg,0.15521818855122016
rolling_3m_displacements,0.09191105863296252
fat_6m_avg,0.0851531078360237
disp_3m_avg,0.07330538659231442
fat_3m_avg,0.0658250405213597
fatalities_lag2,0.053353351509296196
fatalities_lag1,0.0495327754773263
HA,0.04782047360344413
VU,0.04691063327616949
INFORM,0.03492811942468997
disp_diff_3m_6m,0.02886106739752496
lethality_rate,0.026100762187692098
protracted_signal,0.019093839147419
CC,0.01790573538436744
conflict_severity_index,0.017822290916848962
bat_civ,0.017399178882396334
p_sig2,0.017340810288826537
acled_semantic_intensity,0.016483249655037703
acled_disp_score_max,0.01620995905061801
monthly_displacement_lag1,0.015479241855178967
disp_per_fatality,0.013831934962547665
acled_disp_score_mean,0.013092207709638289
monthly_displacement_lag2,0.011862213283351592
fat_diff_3m_6m,0.010863429633960737
disp_per_event,0.01060980109539273
fat_change_lag1_to_now,0.010061924999019993
fat_change_lag2_to_now,0.009600901588517442
disp_change_lag2_to_now,0.008505043113086053
disp_change_lag1_to_now,0.005223136234772332
bat_gr90,0.004107438151136189
exp_gr150,0.001809590737696089
acled_disp_events_ratio,0.0013132513841841182
acled_disp_events_count,0.0005622962153271294
bat_gr90_and_exp_gr150,0.0004918818066695122
bat_gr90_and_exp_gr150_last_5m,0.000469602763270482
hard_onset_signal,0.0002694101922744687
p_sig3,0.00025200800445179355
p_sig1,0.00021178627919859867
h_sig2,0.00020163725717448161
h_sig1,5.554686230844135e-06
INFORM_high_last_5m,6.797113827893127e-07
INFORM_above_06,1.0379094277306228e-16
