feature,importance
disp_6m_avg,0.12595547161238158
logfat_risk3_3m_avg,0.08291410838622036
logfat_risk3_lag1,0.07749671660137039
logfat_risk3_6m_avg,0.07383619486192117
logfat_risk12_6m_avg,0.06678290112092763
logfat_risk12_3m_avg,0.0494755927624756
logfat_risk_3,0.04544037282287454
logfat_risk12_lag2,0.03990129235927221
rolling_3m_displacements,0.03938317511633411
disp_3m_avg,0.037353336045584225
fat_6m_avg,0.03416043749035405
risk12_3m_avg,0.02726074659372002
risk12_lag1,0.026538951193878817
risk_12,0.023357074862984946
risk12_6m_avg,0.021951868094167284
risk12_lag2,0.01878357550458453
disp_diff_3m_6m,0.016243110989729557
risk3_6m_avg,0.016033367009668092
VU,0.013228994588328557
fatalities_lag1,0.012559828145696896
risk_3,0.012170231279458148
risk3_lag2,0.010331705370023769
INFORM,0.010294809632491417
HA,0.009047894118588707
CC,0.008914645587756004
disp_per_event,0.008617696334610339
acled_disp_score_mean,0.008602488741524755
acled_semantic_intensity,0.008333622459779387
fatalities_lag2,0.007955407673989305
conflict_severity_index,0.007848990119510407
fat_3m_avg,0.007283132349195241
acled_disp_score_max,0.006909778818950607
lethality_rate,0.0066130243040502966
fat_diff_3m_6m,0.0056666406832004135
monthly_displacement_lag1,0.004882108554288632
monthly_displacement_lag2,0.00467162271723475
fat_change_lag1_to_now,0.004309388240739678
fat_change_lag2_to_now,0.0042770982132248865
disp_per_fatality,0.004180040981837314
disp_change_lag2_to_now,0.0033448249115297923
disp_change_lag1_to_now,0.0029233797007128465
bat_gr90,0.001662790829870829
acled_disp_events_ratio,0.0012168307300374907
bat_civ,0.0005299486366099693
exp_gr150,0.0003514782681202842
acled_disp_events_count,0.00028822649688269535
bat_gr90_and_exp_gr150,9.219639353590815e-05
bat_gr90_and_exp_gr150_last_5m,2.2881689771370894e-05
INFORM_above_06,1.717583524599248e-16
INFORM_high_last_5m,7.637611137304706e-17
