feature,importance
disp_6m_avg,0.13040189059200727
logfat_risk3_6m_avg,0.08615724026624696
logfat_risk3_3m_avg,0.08499788593911026
logfat_risk3_lag1,0.06721831781114165
logfat_risk_3,0.059189331058048834
rolling_3m_displacements,0.0387235621417979
logfat_risk12_6m_avg,0.03800872117160554
logfat_risk12_3m_avg,0.03451055869358562
logfat_risk12_lag2,0.033495424806235394
disp_3m_avg,0.030821543380670655
risk12_lag1,0.02895875483832531
risk12_3m_avg,0.02459762795075752
risk_12,0.02431075795790586
fatalities_lag1,0.023301131160917053
risk12_6m_avg,0.023298377764735083
fat_6m_avg,0.02326163143839317
fat_3m_avg,0.021709721436617417
risk12_lag2,0.02115835823378375
risk3_6m_avg,0.019042480042470777
risk_3,0.017185070266118072
disp_diff_3m_6m,0.014261359896394252
INFORM,0.012744890712187361
VU,0.011850066073124024
risk3_lag2,0.011032940844265787
conflict_severity_index,0.008560247453519182
CC,0.008459013886021527
fatalities_lag2,0.008201090543737312
acled_semantic_intensity,0.0075671414558975275
acled_disp_score_max,0.007530367388632557
disp_per_event,0.007210813724738303
acled_disp_score_mean,0.007204926273136184
monthly_displacement_lag2,0.006699078573612916
HA,0.0061621609034267985
monthly_displacement_lag1,0.005999846807116456
lethality_rate,0.005858581052362201
p_sig2,0.005696320791255223
fat_diff_3m_6m,0.005448595636573474
protracted_signal,0.004949913001665403
disp_per_fatality,0.00487707656776021
fat_change_lag2_to_now,0.00431889550907918
fat_change_lag1_to_now,0.004062388167816052
disp_change_lag2_to_now,0.003571321892079256
disp_change_lag1_to_now,0.0030299638780110516
bat_gr90,0.001645846964716967
acled_disp_events_ratio,0.0009624750889368441
exp_gr150,0.0004307342681521235
bat_civ,0.00029221196360470976
p_sig1,0.0002822179598659835
acled_disp_events_count,0.00019989821467877644
bat_gr90_and_exp_gr150_last_5m,0.00017376521639113482
p_sig3,0.00010984284656382468
h_sig2,0.00010919031744210196
hard_onset_signal,9.032978090058512e-05
bat_gr90_and_exp_gr150,5.507651736006032e-05
h_sig1,3.0228785004612597e-06
INFORM_high_last_5m,7.295295201640426e-17
INFORM_above_06,5.3570800858464184e-17
