feature,importance
disp_6m_avg,0.11058580984500946
logfat_risk3_lag1,0.10532065102772716
logfat_risk3_3m_avg,0.06077677614413488
logfat_risk3_lag2,0.053348893090862326
logfat_risk_3,0.050689456922543376
logfat_risk12_6m_avg,0.047959727386322246
logfat_risk_12,0.04289006488579221
logfat_risk3_6m_avg,0.042785573982711135
logfat_risk12_3m_avg,0.04268814549588624
risk12_lag1,0.03456617536095149
logfat_risk12_lag2,0.03032060694616655
rolling_3m_displacements,0.027731149727677405
logfat_risk12_lag1,0.025500039016027525
fat_6m_avg,0.022237594645032905
risk12_6m_avg,0.02022205550444888
disp_3m_avg,0.018819376829164385
risk12_lag2,0.01877264981197665
risk12_3m_avg,0.016148894007338394
disp_diff_3m_6m,0.015743360650816766
fatalities_lag1,0.015507368417628117
risk3_6m_avg,0.011077847507610318
fat_3m_avg,0.010642513751058324
fatalities_lag2,0.010309465521993902
risk12_change_2m,0.009082958081572223
lethality_rate,0.008819474759664011
logfat_risk12_change_2m,0.008590466450492627
risk_3,0.008457979848458677
logfat_risk3_change_2m,0.007822288533273491
risk_12,0.0077698264551654085
risk3_3m_avg,0.0076386024068270065
conflict_severity_index,0.007576770717887266
monthly_displacement_lag2,0.007408251141887594
risk3_change_2m,0.007262073670806492
acled_disp_score_max,0.0071464509465834075
acled_semantic_intensity,0.007119410602905775
monthly_displacement_lag1,0.0069281608567490814
risk3_lag2,0.00674138163128816
risk3_lag1,0.006458586491584849
acled_disp_score_mean,0.006233222835144457
disp_per_event,0.006001509851063359
disp_per_fatality,0.004785400130247137
fat_change_lag1_to_now,0.0036092751174746592
fat_diff_3m_6m,0.0035308127992045154
fat_change_lag2_to_now,0.003490149600532541
disp_change_lag1_to_now,0.0034532566537104695
disp_change_lag2_to_now,0.0031658974396122285
bat_civ,0.002927040506869769
hdx_3m_sum,0.00221184773255268
risk_gt_025,0.0021906840027991832
bat_gr90,0.0012739600816382506
mean_value_hdx,0.0011884684582168228
hdx_high_3m_sum,0.0011698608821416963
hdx_medium_3m_sum,0.0011232555450712378
hdx_value,0.0010559440416669122
acled_disp_events_ratio,0.0010276993908598178
logfat_risk_3_high_last_5m,0.0005985911805377741
acled_disp_events_count,0.0002597964563813379
bat_gr90_and_exp_gr150_last_5m,0.00020291756337125855
hdx_med_high_count,0.00017825340230674582
bat_gr90_and_exp_gr150,0.000169609640374912
hdx_alert_Medium concern,0.00015897624845179803
logfat_risk_12_high_last_5m,0.00013494552087398278
logfat_risk_3_gt_4,0.00011495760198248916
exp_gr150,0.0001090436320297807
logfat_risk_12_above_5,0.00010584767531184581
hdx_alert_High concern,6.189693554573865e-05
