feature,importance
disp_6m_avg,0.11728048869575705
logfat_risk3_3m_avg,0.10054839977826181
logfat_risk3_lag1,0.07932728451019586
logfat_risk12_6m_avg,0.05553275303782275
logfat_risk3_6m_avg,0.04980365372488974
logfat_risk3_lag2,0.04624476675118105
disp_3m_avg,0.04102229037064133
logfat_risk_3,0.02933935085847514
logfat_risk12_lag1,0.024158010151664588
logfat_risk12_3m_avg,0.02397360659220754
logfat_risk12_lag2,0.02361435597812217
fatalities_lag1,0.022701058230772894
rolling_3m_displacements,0.022539306497337076
risk3_3m_avg,0.020106432847558642
risk12_lag1,0.019498179039916515
fat_6m_avg,0.019435754183652097
logfat_risk_12,0.01836164245978413
risk12_lag2,0.01592682119576747
fat_3m_avg,0.015632384697289437
disp_diff_3m_6m,0.01449533299192231
risk12_3m_avg,0.014394394512520812
risk_3,0.013803345606558909
VU,0.012855554128192797
risk3_6m_avg,0.011916135274955143
risk3_lag2,0.011867254603620616
risk12_6m_avg,0.011728449921988975
risk_12,0.011360379751276095
INFORM,0.009256046065993985
lethality_rate,0.008488108607552811
risk12_change_2m,0.008486333967131889
risk3_lag1,0.00815288186851798
HA,0.0079547114186126
CC,0.007603500530842096
risk3_change_2m,0.0074808753686163194
logfat_risk12_change_2m,0.0073944935204129925
logfat_risk3_change_2m,0.006783198412347306
fatalities_lag2,0.006529465423093378
conflict_severity_index,0.006518031945534647
monthly_displacement_lag1,0.006435959436548908
acled_semantic_intensity,0.006277233365551088
disp_per_event,0.006198212876496221
acled_disp_score_max,0.005462189864627205
acled_disp_score_mean,0.005385183052992726
disp_per_fatality,0.004716267593521503
fat_diff_3m_6m,0.0036802501788696456
disp_change_lag1_to_now,0.0033981852687583725
fat_change_lag2_to_now,0.003348126809357331
disp_change_lag2_to_now,0.003228223381206791
monthly_displacement_lag2,0.0028127622378199533
fat_change_lag1_to_now,0.002254401005892394
risk_gt_025,0.0020007024448014258
logfat_risk_12_high_last_5m,0.001893262955548688
hdx_3m_sum,0.0016991120109594402
hdx_value,0.0012993100208149205
acled_disp_events_ratio,0.0011526494778403347
hdx_high_3m_sum,0.0010321263750151313
hdx_medium_3m_sum,0.0010093939780885252
mean_value_hdx,0.0009629106884734806
bat_gr90,0.0008367431906259482
logfat_risk_3_high_last_5m,0.0007962546290456695
logfat_risk_12_above_5,0.0004091688843745693
logfat_risk_3_gt_4,0.0002708037890998185
exp_gr150,0.00024495934058470253
bat_civ,0.00022019685310236344
acled_disp_events_count,0.00020590399122360538
hdx_med_high_count,0.00018773343783797558
bat_gr90_and_exp_gr150_last_5m,0.0001675368239286554
hdx_alert_Medium concern,0.00012151472390678983
bat_gr90_and_exp_gr150,0.00012027398079208847
hdx_alert_High concern,5.741381130445209e-05
INFORM_high_last_5m,2.0823240439149076e-16
INFORM_above_06,1.043488733409358e-16
