feature,importance
disp_6m_avg,0.10879154767919946
logfat_risk3_lag1,0.0588390273848265
logfat_risk3_3m_avg,0.0586497095462328
logfat_risk3_lag2,0.05804644015157644
logfat_risk3_6m_avg,0.055924651715831136
logfat_risk12_3m_avg,0.049763571609588615
logfat_risk_3,0.046978980590778256
logfat_risk12_lag1,0.036516114884124935
logfat_risk12_6m_avg,0.035120840107542683
logfat_risk12_lag2,0.03345590248944268
logfat_risk_12,0.03323609228150786
risk12_6m_avg,0.03161519663770114
disp_3m_avg,0.030370297694195216
rolling_3m_displacements,0.02836812985064199
fat_3m_avg,0.02291907407083042
risk12_lag2,0.02279083346556298
fatalities_lag1,0.01854667157813809
fat_6m_avg,0.016482083119073072
risk12_lag1,0.01569632578783135
risk3_3m_avg,0.015175628427158656
risk_12,0.014388085910571473
disp_diff_3m_6m,0.013854644715216368
risk12_3m_avg,0.012076830262170265
risk3_lag1,0.011775424056121373
fatalities_lag2,0.010453815173234968
monthly_displacement_lag2,0.0090369495026811
logfat_risk3_change_2m,0.008957101978098783
risk_3,0.008903984749385772
lethality_rate,0.008733293863999875
logfat_risk12_change_2m,0.008486123289551922
acled_semantic_intensity,0.00840063430364217
risk3_lag2,0.007754738031265005
risk3_change_2m,0.007531696813688681
conflict_severity_index,0.007215500775369996
monthly_displacement_lag1,0.006827113985943832
risk12_change_2m,0.006735153713649827
acled_disp_score_max,0.006536872369942398
risk3_6m_avg,0.006503343491608163
acled_disp_score_mean,0.00540853814328321
disp_per_event,0.005404702234846298
disp_per_fatality,0.005153608898328884
disp_change_lag1_to_now,0.0046645517632320395
fat_diff_3m_6m,0.004272268397278325
protracted_signal,0.004250955144915281
p_sig2,0.0039114869562415205
disp_change_lag2_to_now,0.003719908112556909
fat_change_lag1_to_now,0.0036869180949545394
fat_change_lag2_to_now,0.0035604191490192583
hdx_3m_sum,0.0027346726983660617
risk_gt_025,0.001683226566730179
bat_gr90,0.0014655252634965593
acled_disp_events_ratio,0.001363175230309272
hdx_high_3m_sum,0.001047363005737485
hdx_medium_3m_sum,0.0009568468242607369
hdx_value,0.0008033312882601215
mean_value_hdx,0.0006974196142706826
bat_civ,0.0006932441391953099
logfat_risk_12_high_last_5m,0.0005785118925503122
hdx_med_high_count,0.0003534802213518799
exp_gr150,0.00034137515890874336
logfat_risk_3_high_last_5m,0.0003410333886790095
logfat_risk_3_gt_4,0.000286193172542749
acled_disp_events_count,0.0002505625611603172
hdx_alert_Medium concern,0.00018098190754251966
p_sig1,0.00018039317286716667
h_sig2,0.0001077208021149972
hard_onset_signal,0.00010211748779583854
bat_gr90_and_exp_gr150_last_5m,9.71676359765425e-05
p_sig3,9.233877991810111e-05
logfat_risk_12_above_5,8.786418533427825e-05
hdx_alert_High concern,3.8128931795153614e-05
bat_gr90_and_exp_gr150,2.3477461453075305e-05
h_sig1,2.0656568004843897e-06
