feature,importance
disp_6m_avg,0.20034743456322499
fat_6m_avg,0.09699948807440306
fat_3m_avg,0.09515820705181205
rolling_3m_displacements,0.08616379372619452
disp_3m_avg,0.05703129259639356
fatalities_lag1,0.05406187834899181
bat_civ,0.03597263994462196
fatalities_lag2,0.03519917084923898
p_sig2,0.031146221216072197
lethality_rate,0.031049517290404016
disp_diff_3m_6m,0.0300701751733256
acled_semantic_intensity,0.028808299760291787
conflict_severity_index,0.025227201897608933
monthly_displacement_lag2,0.022156685726094354
acled_disp_score_max,0.020045840581432665
protracted_signal,0.019654148629031205
acled_disp_score_mean,0.018425766183842694
disp_per_fatality,0.01667455664873547
monthly_displacement_lag1,0.01641975435172524
fat_change_lag2_to_now,0.014500291436117852
fat_diff_3m_6m,0.013437361489991988
disp_per_event,0.013277665202974201
fat_change_lag1_to_now,0.012881802693712408
disp_change_lag1_to_now,0.007730240346702147
disp_change_lag2_to_now,0.007305971871575281
bat_gr90,0.0042684242030445255
acled_disp_events_ratio,0.0021469014387058673
exp_gr150,0.0012271294795380698
acled_disp_events_count,0.000626580281258507
bat_gr90_and_exp_gr150,0.0005278401580046428
bat_gr90_and_exp_gr150_last_5m,0.00037737528773881227
p_sig1,0.0003152777396536121
h_sig2,0.0002982511036553553
hard_onset_signal,0.0002970815269362135
p_sig3,0.00016156153420691696
h_sig1,8.171592738439123e-06
