feature,importance
disp_6m_avg,0.21074254650948473
logfat_risk12_6m_avg,0.16942435940147993
risk12_6m_avg,0.11177996127452183
rolling_3m_displacements,0.08774491807082926
fatalities,0.0842272711683448
disp_3m_avg,0.06263404879967233
fatalities_lag1,0.054777788047472666
VU,0.052581394745080445
HA,0.04709348330481056
lethality_rate,0.03106471030412685
CC,0.02295756075368671
acled_disp_score_max,0.022655342384818908
acled_disp_score_mean,0.021539938512011723
monthly_displacement,0.020776676723659186
