feature,importance
disp_6m_avg,0.18529195945712618
disp_3m_avg,0.10997932701845921
fat_6m_avg,0.10433192444309725
risk_12,0.09206929372291323
rolling_3m_displacements,0.0703904277481348
fat_3m_avg,0.06684545290990773
fatalities_lag1,0.06324791451345402
risk_3,0.0521240754451471
INFORM,0.04548092564756029
fatalities_lag2,0.03548188623814234
lethality_rate,0.023364777064372323
conflict_severity_index,0.022470842656407083
acled_semantic_intensity,0.02223235190883493
p_sig2,0.020112534808577272
acled_disp_score_mean,0.01979827834918323
acled_disp_score_max,0.017368091347373632
disp_per_fatality,0.01454880127897619
disp_per_event,0.012781855642899985
protracted_signal,0.012568838375470086
disp_change_lag2_to_now,0.008686644441057252
hard_onset_signal,0.0004345732954711504
p_sig3,0.0002290255735900894
h_sig2,0.00016019811384462992
p_sig1,0.0
h_sig1,0.0
