feature,importance
logfat_risk3_3m_avg,0.15704679270904795
logfat_risk3_lag1,0.14608107580867546
logfat_risk3_6m_avg,0.11628493174531691
logfat_risk_3,0.10252808604627177
logfat_risk12_6m_avg,0.10222711428267821
logfat_risk12_3m_avg,0.08085808557544254
logfat_risk12_lag2,0.0530503427040753
risk12_3m_avg,0.04022869457743224
risk12_6m_avg,0.039269445880498285
risk12_lag1,0.03564772501553319
risk12_lag2,0.02983770335186127
risk_12,0.02953480046957165
risk3_6m_avg,0.024540708393722854
risk_3,0.02188240415779571
risk3_lag2,0.020982089282076646
