feature,importance
logfat_risk3_3m_avg,0.18524560005046137
logfat_risk3_6m_avg,0.11032279784014598
logfat_risk3_lag1,0.10060116100520662
logfat_risk_3,0.08618006623708743
logfat_risk12_6m_avg,0.07903048229153527
logfat_risk12_3m_avg,0.07529351725219549
logfat_risk12_lag2,0.048060897975523514
VU,0.03727409861968135
risk12_6m_avg,0.03672253775982654
risk12_lag2,0.03542980733789964
risk12_lag1,0.035407086137400075
INFORM,0.030334738046649656
risk12_3m_avg,0.026569132174709586
CC,0.025127349239384277
risk3_6m_avg,0.020765971912852007
risk_12,0.01752229803709962
risk3_lag2,0.017222737790233623
risk_3,0.016494269700160692
HA,0.01639545059194689
INFORM_above_06,1.8660938886301249e-16
INFORM_high_last_5m,4.6127369623394743e-17
