feature,importance
logfat_risk3_lag1,0.1086233739649904
logfat_risk3_6m_avg,0.10378694320677512
logfat_risk3_3m_avg,0.09656632701651807
logfat_risk12_6m_avg,0.0952409957572113
logfat_risk_3,0.09145366984434988
logfat_risk12_3m_avg,0.08731850653043643
logfat_risk12_lag2,0.063735134735429
risk12_lag2,0.04031418819806178
risk12_3m_avg,0.03593697359603929
VU,0.03274209321184342
HA,0.03232892966513139
INFORM,0.031808627500390776
risk12_6m_avg,0.026958496355880445
risk_12,0.02451538551526668
risk12_lag1,0.02329376155140043
risk3_6m_avg,0.022385885064339996
CC,0.021482089999039458
risk3_lag2,0.020149256308624092
risk_3,0.017254526408090456
p_sig2,0.010887759995777142
protracted_signal,0.010672232422521785
hard_onset_signal,0.0011257663645487987
h_sig2,0.0006899025143576111
p_sig3,0.00046917280272354867
p_sig1,0.00024471954851112656
h_sig1,1.528192174146628e-05
INFORM_high_last_5m,9.995362792355683e-17
INFORM_above_06,5.768501323563192e-17
