feature,importance
logfat_risk3_lag1,0.14763740001886783
logfat_risk3_3m_avg,0.12766327909171085
logfat_risk3_6m_avg,0.1095147765888872
logfat_risk12_6m_avg,0.09099507436558034
logfat_risk_3,0.08639477433754537
logfat_risk12_3m_avg,0.07223815622285058
risk12_lag2,0.05882772727936201
risk12_6m_avg,0.05117128406259712
logfat_risk12_lag2,0.04639697814024213
risk12_3m_avg,0.03910065421940602
risk12_lag1,0.037471939395007425
risk_12,0.029627367857721167
risk3_lag2,0.024334999325106334
risk3_6m_avg,0.02256939322436392
risk_3,0.019748957285378947
p_sig2,0.018883901149742057
protracted_signal,0.011786539916893905
h_sig2,0.0021325715708241473
hard_onset_signal,0.0017544880129160116
p_sig3,0.0011762073407285063
p_sig1,0.0005576407347750736
h_sig1,1.5889859493052898e-05
